pair_id,cod_classe,classe,cod_assunto,assunto,fam_act10,kept
1849,11532.0,REGISTRO DE CANDIDATURA,11618.0,Registro de Candidatura - RRC - Candidato,,False
1648,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11638.0,Cargo - Vereador,,False
1660,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11767.0,Partido Político - Órgão de Direção Municipal,,False
1847,11532.0,REGISTRO DE CANDIDATURA,12044.0,Registro de Candidatura - DRAP Partido/Coligação,,False
457,12550.0,COMPOSIÇÃO DE MESA RECEPTORA,12566.0,Ausência ou Abandono aos Trabalhos Eleitorais,,False
1647,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11633.0,Cargo - Prefeito,,False
535,156.0,CUMPRIMENTO DE SENTENÇA,12366.0,Execução - Cumprimento de Sentença,,False
1662,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,12046.0,Prestação de Contas - De Candidato,,False
1848,11532.0,REGISTRO DE CANDIDATURA,11617.0,Registro de Candidatura - Preenchimento de Vaga Remanescente,,False
1938,11541.0,REPRESENTAÇÃO,11667.0,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,,False
523,156.0,CUMPRIMENTO DE SENTENÇA,11638.0,Cargo - Vereador,,False
1937,11541.0,REPRESENTAÇÃO,12635.0,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,,False
1852,11532.0,REGISTRO DE CANDIDATURA,11621.0,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,,False
1833,11532.0,REGISTRO DE CANDIDATURA,11616.0,Impugnação ao Registro de Candidatura,,False
20,11530.0,APURAÇÃO DE ELEIÇÃO,11714.0,Apuração/Totalização de Votos,,False
1946,11541.0,REPRESENTAÇÃO,11679.0,Propaganda Política - Propaganda Eleitoral - Internet,,False
1913,11541.0,REPRESENTAÇÃO,11649.0,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,pesquisa_adv,True
1951,11541.0,REPRESENTAÇÃO,12637.0,Propaganda Política - Propaganda Eleitoral - Redes Sociais,,False
816,12554.0,FILIAÇÃO PARTIDÁRIA,12586.0,Filiação Partidária - Lista Especial,,False
1850,11532.0,REGISTRO DE CANDIDATURA,11619.0,Registro de Candidatura - RRCI - Candidato Individual,,False
2228,12633.0,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,11638.0,Cargo - Vereador,,False
814,12554.0,FILIAÇÃO PARTIDÁRIA,11757.0,Filiação Partidária - Coexistência,,False
123,11527.0,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,11718.0,Abuso - De Poder Econômico,abuso,True
2235,12633.0,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,11767.0,Partido Político - Órgão de Direção Municipal,,False
813,12554.0,FILIAÇÃO PARTIDÁRIA,11756.0,Filiação Partidária - Cancelamento,,False
1920,11541.0,REPRESENTAÇÃO,11654.0,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,,False
1665,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,12069.0,Prestação de Contas - de Partido Político,,False
2243,12633.0,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,12598.0,Requerimento de Regularização da Situação de Inadimplência de Prestação de Contas,,False
1879,11541.0,REPRESENTAÇÃO,11633.0,Cargo - Prefeito,,False
124,11527.0,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,11719.0,Abuso - De Poder Político/Autoridade,abuso,True
1653,12193.0,PRESTAÇÃO DE CONTAS ELEITORAIS,11698.0,Contas - Não Apresentação das Contas,,False
1194,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11679.0,Propaganda Política - Propaganda Eleitoral - Internet,,False
1171,12561.0,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,11655.0,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,,False
1915,11541.0,REPRESENTAÇÃO,11651.0,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,,False
