election_year,state,municipality_id_tse,municipality_name,share_first_time_candidates,mean_prior_candidacies,share_prior_winners,share_career_politicians,n_candidates
2012,AC,01007,BUJARI,1.0,0.0,0.0,0.0,10
2012,AC,01015,CAPIXABA,1.0,0.0,0.0,0.0,10
2012,AC,01023,PORTO ACRE,1.0,0.0,0.0,0.0,6
2012,AC,01031,SANTA ROSA DO PURUS,1.0,0.0,0.0,0.0,4
2012,AC,01040,MARECHAL THAUMATURGO,1.0,0.0,0.0,0.0,6
2012,AC,01058,BRASILÉIA,1.0,0.0,0.0,0.0,8
2012,AC,01066,PORTO WALTER,1.0,0.0,0.0,0.0,4
2012,AC,01074,CRUZEIRO DO SUL,1.0,0.0,0.0,0.0,4
2012,AC,01082,RODRIGUES ALVES,1.0,0.0,0.0,0.0,6
2012,AC,01090,MÂNCIO LIMA,1.0,0.0,0.0,0.0,6
2012,AC,01104,JORDÃO,1.0,0.0,0.0,0.0,6
2012,AC,01112,EPITACIOLÂNDIA,1.0,0.0,0.0,0.0,8
2012,AC,01120,ACRELÂNDIA,1.0,0.0,0.0,0.0,12
2012,AC,01139,FEIJÓ,1.0,0.0,0.0,0.0,9
2012,AC,01392,RIO BRANCO,1.0,0.0,0.0,0.0,13
2012,AC,01457,SENA MADUREIRA,1.0,0.0,0.0,0.0,6
2012,AC,01473,TARAUACÁ,1.0,0.0,0.0,0.0,4
2012,AC,01490,XAPURI,1.0,0.0,0.0,0.0,8
2012,AC,01511,PLÁCIDO DE CASTRO,1.0,0.0,0.0,0.0,5
2012,AC,01538,SENADOR GUIOMARD,1.0,0.0,0.0,0.0,6
2012,AC,01554,MANOEL URBANO,1.0,0.0,0.0,0.0,6
2012,AC,01570,ASSIS BRASIL,1.0,0.0,0.0,0.0,4
2012,AL,27006,PARIPUEIRA,1.0,0.0,0.0,0.0,4
2012,AL,27014,ÁGUA BRANCA,1.0,0.0,0.0,0.0,5
2012,AL,27022,PARICONHA,1.0,0.0,0.0,0.0,4
2012,AL,27030,ANADIA,1.0,0.0,0.0,0.0,7
2012,AL,27049,ESTRELA DE ALAGOAS,1.0,0.0,0.0,0.0,6
2012,AL,27057,ARAPIRACA,1.0,0.0,0.0,0.0,6
2012,AL,27065,JEQUIÁ DA PRAIA,1.0,0.0,0.0,0.0,4
2012,AL,27073,ATALAIA,1.0,0.0,0.0,0.0,10
2012,AL,27081,CAMPESTRE,1.0,0.0,0.0,0.0,7
2012,AL,27090,BARRA DE SANTO ANTÔNIO,1.0,0.0,0.0,0.0,6
2012,AL,27111,BARRA DE SÃO MIGUEL,1.0,0.0,0.0,0.0,4
2012,AL,27138,BATALHA,1.0,0.0,0.0,0.0,10
2012,AL,27154,BELÉM,1.0,0.0,0.0,0.0,4
2012,AL,27170,BELO MONTE,1.0,0.0,0.0,0.0,6
2012,AL,27197,BOCA DA MATA,1.0,0.0,0.0,0.0,4
2012,AL,27219,BRANQUINHA,1.0,0.0,0.0,0.0,8
2012,AL,27235,CACIMBINHAS,1.0,0.0,0.0,0.0,4
2012,AL,27251,CAJUEIRO,1.0,0.0,0.0,0.0,8
2012,AL,27278,CAMPO ALEGRE,1.0,0.0,0.0,0.0,8
2012,AL,27294,CAMPO GRANDE,1.0,0.0,0.0,0.0,6
2012,AL,27316,CANAPI,1.0,0.0,0.0,0.0,7
2012,AL,27332,CAPELA,1.0,0.0,0.0,0.0,8
2012,AL,27359,CARNEIROS,1.0,0.0,0.0,0.0,6
2012,AL,27375,CHÃ PRETA,1.0,0.0,0.0,0.0,6
2012,AL,27391,COITÉ DO NÓIA,1.0,0.0,0.0,0.0,4
2012,AL,27413,COLÔNIA LEOPOLDINA,1.0,0.0,0.0,0.0,4
2012,AL,27430,COQUEIRO SECO,1.0,0.0,0.0,0.0,6
2012,AL,27456,CORURIPE,1.0,0.0,0.0,0.0,9
2012,AL,27472,DELMIRO GOUVEIA,1.0,0.0,0.0,0.0,4
2012,AL,27499,DOIS RIACHOS,1.0,0.0,0.0,0.0,6
2012,AL,27510,FEIRA GRANDE,1.0,0.0,0.0,0.0,6
