SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,winner_elected_2016
AC,01007,BUJARI,5,0.2986782720825274,0.06205673758865249,0.2199840601163701,4.5457839057566565,PC do B,10000001880,ROMUALDO DE SOUZA ARAUJO,1
AC,01015,CAPIXABA,5,0.3571080422420796,0.04874086108854586,0.2618172963406079,3.8194573619729946,PP,10000003202,JOSÉ AUGUSTO GOMES DA CUNHA,1
AC,01023,PORTO ACRE,4,0.45358929847850504,0.12406821198815482,0.33802446265178204,2.9583657707938023,PROS,10000002784,BENEDITO CAVALCANTE DAMASCENO,1
AC,01031,SANTA ROSA DO PURUS,5,0.4551467548573791,0.1529557668458041,0.3269676245364272,3.0584067808480864,PRP,10000003335,FRANCISCO DE ASSIS FERNANDES DA COSTA,1
AC,01040,MARECHAL THAUMATURGO,2,0.5651573716178907,0.13031474323578135,0.5084909661523038,1.9666032762919898,PMDB,10000001618,ISAAC DA SILVA PIYÃKO,1
AC,01058,BRASILÉIA,2,0.5314058603491272,0.06281172069825436,0.5019726561285378,1.9921403841246974,PT,10000001187,FERNANDA DE SOUZA HASSEM CESAR,1
AC,01066,PORTO WALTER,2,0.6729806226866971,0.3459612453733943,0.5598445916501549,1.7862099856184677,PMDB,10000001438,JOSÉ ESTEPHAN BARBARY FILHO,1
AC,01074,CRUZEIRO DO SUL,3,0.4660596239421766,0.1711294595776423,0.36132125621488514,2.7676201795481403,PMDB,10000000949,ILDERLEI SOUZA RODRIGUES CORDEIRO,1
AC,01082,RODRIGUES ALVES,3,0.5878140408546607,0.21648274242779997,0.4850813831196851,2.0615097482586093,PMDB,10000001357,SEBASTIÃO SOUZA CORREIA,1
AC,01090,MÂNCIO LIMA,3,0.563453899226427,0.1427974074848422,0.4946846602729919,2.0214898101917083,PT,10000002021,ISAAC DE SOUZA LIMA,1
AC,01104,JORDÃO,3,0.5518376302797586,0.3102029621503017,0.40556577455918447,2.4656912952946164,PC do B,10000001697,ELSON DE LIMA FARIAS,1
AC,01112,EPITACIOLÂNDIA,3,0.4706699062825408,0.12055999074395468,0.37622698590491865,2.6579698890943546,PSB,10000001939,JOÃO SEBASTIÃO FLORES DA SILVA,1
AC,01120,ACRELÂNDIA,5,0.5373134328358209,0.32180220393360304,0.35937917632957306,2.7825763590791297,PSB,10000002445,EDERALDO CAETANO DE SOUSA,1
AC,01139,FEIJÓ,3,0.46960257787325455,0.1450769781596849,0.36822665327838033,2.7157186778763602,PP,10000001523,KIEFER ROBERTO CAVALCANTE LIMA,1
AC,01392,RIO BRANCO,4,0.548661627717377,0.22848847300901015,0.41273298506104544,2.42287395530574,PT,10000000922,MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA,1
AC,01457,SENA MADUREIRA,4,0.3865451516487824,0.04424518594737614,0.3198891719171691,3.1260826804695228,PMDB,10000003447,OSMAR SERAFIM DE ANDRADE,1
AC,01473,TARAUACÁ,3,0.4797519968720326,0.05680612187901468,0.4185128958159025,2.389412632197324,PSD,10000002692,MARILETE VITORINO DE SIQUEIRA,1
AC,01490,XAPURI,4,0.41387457044673537,0.08515893470790376,0.3226297673400763,3.0995280077362604,PT,10000002340,FRANCISCO UBIRACY MACHADO DE VASCONCELOS,1
AC,01511,PLÁCIDO DE CASTRO,4,0.47779960707269153,0.18772102161100196,0.3612882650599619,2.767872905681099,PSDB,10000002004,GEDEON SOUSA BARROS,1
AC,01538,SENADOR GUIOMARD,4,0.32373946579060137,0.026424796457648947,0.2694468668248487,3.711306840506111,PSD,10000002865,ANDRE LUIS TAVARES DA CRUZ MAIA,1
AC,01554,MANOEL URBANO,4,0.43760096930533116,0.09289176090468493,0.34973149341921544,2.8593364304235593,PMDB,10000001752,JOSÉ ALTANÍZIO TAUMATURGO SÁ,1
AC,01570,ASSIS BRASIL,3,0.5259108395564608,0.22222222222222227,0.3978453325533076,2.513539604906661,PSDB,10000001848,ANTONIO BARBOSA DE SOUSA,1
AL,27006,PARIPUEIRA,2,0.8548886138613861,0.7097772277227723,0.7518918564969121,1.329978495390323,PSDB,20000005116,HAROLDO NASCIMENTO DA SILVA,1
AL,27014,ÁGUA BRANCA,3,0.5455432372505543,0.10155210643015522,0.49485507740866563,2.020793653844176,PSDB,20000005941,JOSÉ CARLOS DE CARVALHO,1
AL,27022,PARICONHA,2,0.557001239157373,0.11400247831474597,0.5064982825309521,1.974340357094676,PP,20000003186,FABIANO RIBEIRO DE SANTANA,1
AL,27030,ANADIA,2,0.5107245758190161,0.021449151638032182,0.5002300330529956,1.999080290914995,PDT,20000000686,JOSE CELINO RIBEIRO DE LIMA,1
AL,27049,ESTRELA DE ALAGOAS,2,0.5686227830020236,0.1372455660040472,0.5094181726938857,1.963023805593425,PP,20000007968,ARLINDO GARROTE DA SILVA NETO,1
AL,27057,ARAPIRACA,4,0.3804181972308562,0.002439483846661039,0.3383366758874229,2.955635824514446,PSDB,20000001647,ROGERIO AUTO TEOFILO,1
AL,27065,JEQUIÁ DA PRAIA,2,0.5548543689320389,0.1097087378640777,0.5060180035818644,1.9762142708786414,PRB,20000002329,JEANNYNE BELTRÃO LIMA SIQUEIRA,1
AL,27073,ATALAIA,5,0.5184049079754601,0.16387280739652638,0.40131208258041157,2.4918262953112764,PMDB,20000001193,FRANCISCO LUIZ DE ALBUQUERQUE,1
AL,27081,CAMPESTRE,2,0.5020661157024794,0.0041322314049587194,0.5000085376681922,1.9999658499103554,PMDB,20000007984,NIELSON MENDES DA SILVA,1
AL,27090,BARRA DE SANTO ANTÔNIO,3,0.6058527173330475,0.24322006645942756,0.49955312659653556,2.001789092609665,PSDB,20000003649,EMANUELLA CORADO ACIOLI DE MOURA,1
AL,27111,BARRA DE SÃO MIGUEL,4,0.5102078352032371,0.11697627368033842,0.42077500910068283,2.3765669974965657,PMDB,20000004585,JOSE MEDEIROS NICOLAU,1
AL,27138,BATALHA,3,0.558592174263816,0.1524808390480032,0.4781974759826023,2.0911862781065405,PMDB,20000002392,MARINA THEREZA CINTRA DANTAS,1
AL,27154,BELÉM,3,0.5713551041398817,0.15402417073797886,0.5007397687473044,1.9970452966052403,PSDB,20000004360,ANA PAULA ANTERO SANTA ROSA BARBOSA,1
AL,27170,BELO MONTE,2,0.5404245709123758,0.08084914182475161,0.5032682918668995,1.9870117314374185,PRP,20000000835,CLAUDEVAL SANTOS SANTANA,1
AL,27197,BOCA DA MATA,3,0.5501986029311053,0.1271743596767566,0.4823850290146624,2.0730328261692472,PMDB,20000001583,GUSTAVO DANTAS FEIJO,1
