state,municipality_id_tse,municipality_name,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020
AC,01007,BUJARI,0.20000000000000004,0.3333333333333333,5.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,64.05201916495551,67.94250513347022,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,49.921971252566735,57.27766370066164,0.0,2.0,0.0,0.6666666666666666,1.0,0.3333333333333333,5.0,3.0,15.391854768353703,9.311098989756228,5.0,3.0,-2.0,-0.2,0.13333333333333328,-1.9999999999999991
AC,01015,CAPIXABA,0.25,0.5,4.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,48.7419575633128,52.63244353182751,1.0,1.0,0.0,0.5,0.25,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.75,0.5,51.91581108829569,48.7460643394935,0.0,1.0,0.0,0.5,1.0,1.0,4.0,2.0,6.079805778296015,5.496170162323357,4.0,2.0,-2.0,0.5,0.25,-2.0
AC,01023,PORTO ACRE,0.20000000000000004,0.25,4.0,4.0,4.999999999999999,4.0,1.0,1.0,0.0,0.0,0.0,1.0,58.625598904859686,44.1368925393566,1.0,0.0,0.0,0.25,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,58.23682409308692,50.16153319644079,0.0,3.0,0.0,0.75,0.8,0.75,5.0,4.0,2.2338278762441846,7.9728601416445875,5.0,4.0,-1.0,0.25,0.04999999999999996,-0.9999999999999991
AC,01031,SANTA ROSA DO PURUS,0.20000000000000004,0.3333333333333333,4.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,48.09582477754962,51.98631074606434,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.4,0.6666666666666666,49.27802874743327,50.60369609856263,0.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,5.0,3.0,3.460656066135755,3.4981002125202716,5.0,3.0,-2.0,-0.2,0.13333333333333328,-1.9999999999999991
AC,01040,MARECHAL THAUMATURGO,0.375,0.5,3.0,2.0,2.6666666666666665,2.0,1.0,1.0,0.0,0.0,1.0,1.0,48.73648186173853,45.158110882956876,0.0,1.0,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,40.440793976728266,53.45516769336071,0.0,2.0,0.0,1.0,0.5,1.0,3.0,2.0,7.372138476207085,11.733810269053158,4.0,2.0,-2.0,-0.25,0.125,-0.6666666666666665
AC,01058,BRASILÉIA,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,38.888432580424364,50.510609171800134,0.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.14875655943418,52.340862422997944,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,3.0,2.0,20.824011795949083,2.588368970421394,3.0,2.0,-1.0,-0.16666666666666663,0.16666666666666669,-1.0
AC,01066,PORTO WALTER,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.82067077344285,45.711156741957566,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,44.90212183436003,40.889801505817935,0.0,1.0,0.0,0.5,1.0,1.0,2.0,2.0,4.357829882138039,6.8184259639672025,2.0,2.0,0.0,0.0,0.0,0.0
AC,01074,CRUZEIRO DO SUL,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,52.016427104722794,55.90691307323751,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,43.37577002053388,49.880903490759756,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,3.0,2.0,7.5420648572393105,8.522064478530273,3.0,2.0,-1.0,0.5,0.16666666666666669,-1.0
AC,01082,RODRIGUES ALVES,0.20000000000000004,0.3333333333333333,5.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,1.0,1.0,47.5564681724846,40.65982203969884,1.0,1.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,48.14784394250513,48.23910563540954,0.0,2.0,0.0,0.6666666666666666,0.8,0.6666666666666666,5.0,3.0,7.450837202791322,12.806595007406944,5.0,3.0,-2.0,0.0,0.13333333333333328,-1.9999999999999991
AC,01090,MÂNCIO LIMA,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,56.492813141683776,44.41889117043121,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,49.666438512434404,44.85785991330139,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,1.0,3.0,3.0,6.286629066978599,2.952706176067168,3.0,3.0,0.0,-0.3333333333333333,0.0,0.0
