SG_UF,SG_UE,NM_UE,bartik_iv_2020_2024,baseline_competition_lawsuits_2020,baseline_subjects_2020,competition_families_2020,competition_families_2024,competition_lawsuits_2020,competition_lawsuits_2024,competition_subjects_2020,competition_subjects_2024,log1p_competition_lawsuits_2020,log1p_competition_lawsuits_2024,delta_log1p_competition_lawsuits_2024_2020,candidate_hhi_party_2020,candidate_hhi_party_2024,coalition_count_2020,coalition_count_2024,effective_party_count_candidates_2020,effective_party_count_candidates_2024,elected_candidates_2020,elected_candidates_2024,elected_female_share_2020,elected_female_share_2024,elected_higher_education_share_2020,elected_higher_education_share_2024,elected_mean_age_2020,elected_mean_age_2024,elected_nonwhite_share_2020,elected_nonwhite_share_2024,female_share_2020,female_share_2024,higher_education_share_2020,higher_education_share_2024,incumbent_candidate_count_2020,incumbent_candidate_count_2024,incumbent_candidate_share_2020,incumbent_candidate_share_2024,incumbent_reelected_count_2020,incumbent_reelected_count_2024,incumbent_reelected_share_2020,incumbent_reelected_share_2024,married_share_2020,married_share_2024,mean_age_2020,mean_age_2024,new_candidate_count_2020,new_candidate_count_2024,new_candidate_share_2020,new_candidate_share_2024,nonwhite_share_2020,nonwhite_share_2024,party_count_2020,party_count_2024,sd_age_2020,sd_age_2024,total_candidates_2020,total_candidates_2024,delta_total_candidates_2024_2020,delta_female_share_2024_2020,delta_candidate_hhi_party_2024_2020,delta_effective_party_count_candidates_2024_2020,effective_n_candidates_vote_2020,effective_n_candidates_vote_2024,effective_n_parties_vote_2020,effective_n_parties_vote_2024,female_vote_share_2020,female_vote_share_2024,higher_education_vote_share_2020,higher_education_vote_share_2024,incumbent_candidate_vote_share_2020,incumbent_candidate_vote_share_2024,margin_top1_top2_2020,margin_top1_top2_2024,n_candidates_with_votes_2020,n_candidates_with_votes_2024,new_candidate_vote_share_2020,new_candidate_vote_share_2024,nonwhite_vote_share_2020,nonwhite_vote_share_2024,runnerup_vote_share_2020,runnerup_vote_share_2024,top2_vote_share_2020,top2_vote_share_2024,total_valid_votes_2020,total_valid_votes_2024,vote_hhi_candidate_2020,vote_hhi_candidate_2024,vote_hhi_party_2020,vote_hhi_party_2024,winner_vote_share_2020,winner_vote_share_2024,delta_winner_vote_share_2024_2020,delta_runnerup_vote_share_2024_2020,delta_margin_top1_top2_2024_2020,delta_top2_vote_share_2024_2020,delta_vote_hhi_candidate_2024_2020,delta_effective_n_candidates_vote_2024_2020,delta_female_vote_share_2024_2020,delta_nonwhite_vote_share_2024_2020,delta_higher_education_vote_share_2024_2020,delta_vote_hhi_party_2024_2020,delta_effective_n_parties_vote_2024_2020,delta_total_valid_votes_2024_2020,delta_log_total_valid_votes_2024_2020
AC,01007,BUJARI,-0.1946338835327941,173.0,12.0,4.0,4.0,173.0,143.0,12.0,13.0,5.159055299214529,4.969813299576001,-0.1892419996385284,0.2,0.3333333333333333,5.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,64.05201916495551,67.94250513347022,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,49.921971252566735,57.27766370066164,0.0,2.0,0.0,0.6666666666666666,1.0,0.3333333333333333,5.0,3.0,15.391854768353705,9.311098989756228,5.0,3.0,-2.0,-0.2,0.1333333333333332,-1.9999999999999991,2.8301057656417727,2.066676329205582,2.830105765641773,2.066676329205582,0.061126081406892636,0.0,0.061126081406892636,0.0,0.0,0.4979359589423184,0.15246064388030067,0.012495816132991167,5.0,3.0,0.0,0.5020640410576815,1.0,0.4979359589423184,0.3277549283789533,0.48544014280932724,0.8079705006382073,0.9833761017516456,7051.0,8963.0,0.3533436849393626,0.48386870545151783,0.3533436849393625,0.48386870545151783,0.480215572259254,0.4979359589423184,0.017720386683064415,0.15768521443037392,-0.1399648277473095,0.17540560111343828,0.13052502051215525,-0.7634294364361907,-0.061126081406892636,-0.5020640410576815,-0.061126081406892636,0.1305250205121553,-0.7634294364361911,1912.0,0.2399052914030566
AC,01015,CAPIXABA,-0.1654909509503342,222.0,8.0,3.0,2.0,222.0,207.0,8.0,7.0,5.407171771460119,5.337538079701318,-0.0696336917588009,0.25,0.5,4.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,48.7419575633128,52.63244353182751,1.0,1.0,0.0,0.5,0.25,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.75,0.5,51.91581108829569,48.7460643394935,0.0,1.0,0.0,0.5,1.0,1.0,4.0,2.0,6.079805778296015,5.496170162323357,4.0,2.0,-2.0,0.5,0.25,-2.0,3.2589749806310215,1.8180096013656393,3.2589749806310215,1.8180096013656393,0.0,0.34180376028202114,0.1227742920128879,0.34180376028202114,0.0,0.6581962397179788,0.22197727658131253,0.31639247943595766,4.0,2.0,0.0,0.34180376028202114,1.0,1.0,0.2235034763439037,0.34180376028202114,0.6689842292691199,1.0,5897.0,6808.0,0.3068449454025493,0.5500521005218164,0.3068449454025493,0.5500521005218164,0.4454807529252162,0.6581962397179788,0.2127154867927626,0.11830028393811745,0.09441520285464514,0.33101577073088007,0.2432071551192671,-1.4409653792653823,0.34180376028202114,0.0,0.21902946826913322,0.2432071551192671,-1.4409653792653823,911.0,0.14363195610774504
AC,01023,PORTO ACRE,-0.1624816284121457,745.0,7.0,3.0,1.0,745.0,468.0,7.0,5.0,6.61472560020376,6.150602768446279,-0.4641228317574812,0.2,0.25,4.0,4.0,4.999999999999999,4.0,1.0,1.0,0.0,0.0,0.0,1.0,58.625598904859686,44.1368925393566,1.0,0.0,0.0,0.25,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,58.23682409308692,50.16153319644079,0.0,3.0,0.0,0.75,0.8,0.75,5.0,4.0,2.233827876244185,7.9728601416445875,5.0,4.0,-1.0,0.25,0.0499999999999999,-0.9999999999999992,2.383062228408113,2.3768768460904797,2.383062228408113,2.3768768460904797,0.0,0.08661349798473544,0.30259154338474453,1.0,0.0,0.0,0.2784597628790263,0.3281879770174084,5.0,4.0,0.0,0.7432467198353486,0.9870947434686811,0.41505874281794014,0.2896862868534257,0.2567532801646514,0.8578323365858777,0.8416945373467112,9531.0,11661.0,0.41962815241631374,0.4207201570602255,0.4196281524163138,0.4207201570602255,0.568146049732452,0.5849412571820598,0.01679520744960783,-0.0329330066887743,0.04972821413838213,-0.016137799239166473,0.001092004643911737,-0.006185382317633437,0.08661349798473544,-0.572036000650741,0.6974084566152554,0.0010920046439116815,-0.006185382317633437,2130.0,0.2016811335634685
AC,01031,SANTA ROSA DO PURUS,-0.1660963753466624,293.0,6.0,3.0,4.0,293.0,228.0,6.0,10.0,5.683579767338681,5.43372200355424,-0.2498577637844414,0.2,0.3333333333333333,4.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,48.09582477754962,51.98631074606434,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.4,0.6666666666666666,49.27802874743327,50.60369609856263,0.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,5.0,3.0,3.460656066135755,3.498100212520272,5.0,3.0,-2.0,-0.2,0.1333333333333332,-1.9999999999999991,2.9837864479595555,2.3674154521271027,2.9837864479595555,2.3674154521271027,0.03304042179261863,0.0,0.03304042179261863,0.0,0.0,0.5174913331232273,0.04920913884007028,0.13803971005357707,4.0,3.0,0.0,0.10305704380712259,1.0,0.8969429561928774,0.35711775043936733,0.3794516230696502,0.7634446397188049,0.8969429561928774,2845.0,3173.0,0.3351446282906218,0.42240156838611004,0.3351446282906218,0.42240156838611004,0.4063268892794376,0.5174913331232273,0.11116444384378965,0.02233387263028286,0.08883057121350679,0.1334983164740725,0.08725694009548823,-0.6163709958324528,-0.03304042179261863,-0.10305704380712255,-0.03304042179261863,0.08725694009548823,-0.6163709958324528,328.0,0.10907812243655624
AC,01040,MARECHAL THAUMATURGO,-0.1617991626468947,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.2344980934171356,0.375,0.5,3.0,2.0,2.6666666666666665,2.0,1.0,1.0,0.0,0.0,1.0,1.0,48.73648186173853,45.15811088295688,0.0,1.0,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,40.440793976728266,53.45516769336071,0.0,2.0,0.0,1.0,0.5,1.0,3.0,2.0,7.372138476207085,11.733810269053158,4.0,2.0,-2.0,-0.25,0.125,-0.6666666666666665,2.215029605552189,1.9242644770336765,2.215029605552189,1.9242644770336765,0.39448226442135437,0.0,1.0,1.0,0.0,0.0,0.14546757434611246,0.198388929050914,3.0,2.0,0.0,1.0,0.4600501612325331,1.0,0.39448226442135437,0.400805535474543,0.9344321031888212,1.0,8373.0,9683.0,0.45146123442025415,0.5196790835849843,0.45146123442025415,0.5196790835849843,0.5399498387674668,0.599194464525457,0.059244625757990166,0.006323271053188639,0.052921354704801526,0.0655678968111788,0.06821784916473012,-0.29076512851851266,-0.39448226442135437,0.5399498387674668,0.0,0.06821784916473012,-0.29076512851851266,1310.0,0.14534337147886056
AC,01058,BRASILÉIA,-0.1738408040081004,424.0,11.0,2.0,3.0,424.0,339.0,11.0,11.0,6.052089168924417,5.828945617610208,-0.2231435513142097,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,38.888432580424364,50.51060917180013,0.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.14875655943418,52.34086242299794,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,3.0,2.0,20.824011795949083,2.588368970421394,3.0,2.0,-1.0,-0.1666666666666666,0.1666666666666666,-1.0,2.0698428968451243,1.9955193487342497,2.0698428968451243,1.9955193487342497,0.951274479328567,0.47630740642421027,0.951274479328567,0.47630740642421027,0.0,0.0,0.2378769039477775,0.04738518715157952,3.0,2.0,0.0,0.5236925935757898,0.35669878769039476,1.0,0.35669878769039476,0.47630740642421027,0.951274479328567,1.0,12868.0,15068.0,0.48312845459151044,0.5011226779806952,0.48312845459151044,0.5011226779806952,0.5945756916381723,0.5236925935757898,-0.07088309806238247,0.11960861873381551,-0.19049171679619797,0.04872552067143299,0.01799422338918477,-0.0743235481108746,-0.47496707290435675,0.6433012123096052,-0.47496707290435675,0.01799422338918477,-0.0743235481108746,2200.0,0.15781833492448882
AC,01066,PORTO WALTER,-0.1617991626468947,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.2344980934171356,0.5,0.5,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.82067077344285,45.711156741957566,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,44.90212183436003,40.889801505817935,0.0,1.0,0.0,0.5,1.0,1.0,2.0,2.0,4.357829882138039,6.8184259639672025,2.0,2.0,0.0,0.0,0.0,0.0,1.8752029019837642,1.8824191378795332,1.8752029019837642,1.8824191378795332,0.0,0.0,0.37101235478517425,0.0,0.0,0.6249626307922272,0.2579752904296515,0.24992526158445444,2.0,2.0,0.0,0.3750373692077728,1.0,1.0,0.37101235478517425,0.3750373692077728,1.0,1.0,5423.0,6690.0,0.5332756252361315,0.531231318189029,0.5332756252361315,0.531231318189029,0.6289876452148258,0.6249626307922272,-0.004025014422598505,0.004025014422598561,-0.008050028845197066,0.0,-0.002044307047102456,0.00721623589576903,0.0,0.0,-0.37101235478517425,-0.002044307047102456,0.00721623589576903,1267.0,0.20992978916258487
AC,01074,CRUZEIRO DO SUL,-0.1617991626468947,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.2344980934171356,0.3333333333333333,0.5,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,52.0164271047228,55.90691307323751,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,43.37577002053388,49.88090349075976,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,3.0,2.0,7.5420648572393105,8.522064478530273,3.0,2.0,-1.0,0.5,0.1666666666666666,-1.0,2.7815370380939366,1.999967352812121,2.7815370380939366,1.999967352812121,0.0,0.4979798601283866,1.0,1.0,0.0,0.5020201398716134,0.09645016349478935,0.004040279743226849,3.0,2.0,0.0,0.4979798601283866,0.7864687477945846,0.5020201398716134,0.3450092921498977,0.4979798601283866,0.7864687477945846,1.0,42509.0,48759.0,0.35951345831628956,0.5000081619302018,0.35951345831628956,0.5000081619302018,0.441459455644687,0.5020201398716134,0.0605606842269264,0.1529705679784889,-0.0924098837515625,0.21353125220541536,0.14049470361391225,-0.7815696852818157,0.4979798601283866,-0.2844486079229712,0.0,0.14049470361391225,-0.7815696852818157,6250.0,0.13717096224237224
AC,01082,RODRIGUES ALVES,-0.1617991626468947,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.2344980934171356,0.2,0.3333333333333333,5.0,3.0,4.999999999999999,3.0,1.0,1.0,0.0,0.0,1.0,1.0,47.5564681724846,40.65982203969884,1.0,1.0,0.0,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,48.14784394250513,48.23910563540954,0.0,2.0,0.0,0.6666666666666666,0.8,0.6666666666666666,5.0,3.0,7.450837202791322,12.806595007406944,5.0,3.0,-2.0,0.0,0.1333333333333332,-1.9999999999999991,1.9433680439286707,2.140956775772259,1.9433680439286707,2.140956775772259,0.0,0.0,0.7049381339872924,0.6010960484568791,0.0,0.0,0.40541745624791,0.2871839246226324,5.0,3.0,0.0,0.6860878761657533,0.7391595139895218,0.6860878761657533,0.2608404860104782,0.3139121238342467,0.9270984282688663,0.9150081722911259,8971.0,10401.0,0.514570568927552,0.4670808917378972,0.514570568927552,0.4670808917378972,0.6662579422583882,0.6010960484568791,-0.06516189380150905,0.0530716378237685,-0.11823353162527755,-0.012090255977740494,-0.047489677189654855,0.19758873184358827,0.0,-0.05307163782376856,-0.1038420855304133,-0.047489677189654855,0.19758873184358827,1430.0,0.14788947869291924
AC,01090,MÂNCIO LIMA,-0.1617991626468947,774.0,13.0,4.0,4.0,774.0,612.0,13.0,15.0,6.652863029353347,6.418364935936212,-0.2344980934171356,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,56.492813141683776,44.41889117043121,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,49.6664385124344,44.85785991330139,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,1.0,3.0,3.0,6.286629066978599,2.952706176067168,3.0,3.0,0.0,-0.3333333333333333,0.0,0.0,1.9851573223501613,1.9996574935144804,1.9851573223501613,1.9996574935144804,0.0,0.0,0.0,0.4934562515433369,0.0,0.0,0.08646864686468647,0.013087496913326169,2.0,2.0,0.0,0.5065437484566631,1.0,1.0,0.45676567656765676,0.4934562515433369,1.0,1.0,7575.0,12149.0,0.5037384134453049,0.5000856412877281,0.5037384134453049,0.5000856412877281,0.5432343234323432,0.5065437484566631,-0.03669057497568018,0.036690574975680124,-0.0733811499513603,0.0,-0.0036527721575767558,0.01450017116431912,0.0,0.0,0.4934562515433369,-0.0036527721575767558,0.01450017116431912,4574.0,0.47234381390278024
