id_municipio,id_municipio_tse,nome,sigla_uf,id_mesorregiao,nome_mesorregiao,id_microrregiao,nome_microrregiao,id_regiao_imediata,nome_regiao_imediata,id_regiao_intermediaria,nome_regiao_intermediaria
1100338,434,Nova Mamoré,RO,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho
1100205,35,Porto Velho,RO,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho
1101104,493,Itapuã do Oeste,RO,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho
1100809,477,Candeias do Jamari,RO,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho
1100940,680,Cujubim,RO,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho
1100452,779,Buritis,RO,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho
1100700,671,Campo Novo de Rondônia,RO,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho
1100106,19,Guajará-Mirim,RO,1101,Madeira-Guaporé,11002,Guajará-Mirim,110001,Porto Velho,1101,Porto Velho
1100080,213,Costa Marques,RO,1101,Madeira-Guaporé,11002,Guajará-Mirim,110004,Ji-Paraná,1102,Ji-Paraná
1101492,795,São Francisco do Guaporé,RO,1101,Madeira-Guaporé,11002,Guajará-Mirim,110004,Ji-Paraná,1102,Ji-Paraná
1101401,663,Monte Negro,RO,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho
1100601,620,Cacaulândia,RO,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho
1100403,639,Alto Paraíso,RO,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho
1100023,78,Ariquemes,RO,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho
1100262,647,Rio Crespo,RO,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho
1101757,698,Vale do Anari,RO,1102,Leste Rondoniense,11003,Ariquemes,110003,Jaru,1101,Porto Velho
1100130,396,Machadinho D'Oeste,RO,1102,Leste Rondoniense,11003,Ariquemes,110003,Jaru,1101,Porto Velho
1100114,159,Jaru,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho
1101609,590,Theobroma,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho
1101005,612,Governador Jorge Teixeira,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho
1101807,558,Vale do Paraíso,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1101559,752,Teixeirópolis,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1101435,744,Nova União,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1100254,191,Presidente Médici,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1100122,51,Ji-Paraná,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1101302,574,Mirante da Serra,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1100155,175,Ouro Preto do Oeste,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1101708,566,Urupá,RO,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná
1100320,418,São Miguel do Guaporé,RO,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná
1101500,582,Seringueiras,RO,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná
1100346,337,Alvorada D'Oeste,RO,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná
1100148,370,Nova Brasilândia D'Oeste,RO,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110005,Cacoal,1102,Ji-Paraná
1100908,531,Castanheiras,RO,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná
1101203,604,Ministro Andreazza,RO,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná
1100296,353,Santa Luzia D'Oeste,RO,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná
1100502,515,Novo Horizonte do Oeste,RO,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná
1100379,736,Alto Alegre dos Parecis,RO,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná
