office_group,election_year,state,municipality_id_tse,municipality_name,total_candidates,elected_candidates,party_count,coalition_count,female_share,nonwhite_share,higher_education_share,married_share,mean_age,sd_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_count,incumbent_candidate_count,incumbent_reelected_count,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,candidate_hhi_party,effective_party_count_candidates
executive,2020,AC,01007,BUJARI,5,1,5,5,0.2,1.0,0.2,1.0,49.921971252566735,15.391854768353703,0.0,1.0,0.0,64.05201916495551,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01015,CAPIXABA,4,1,4,4,0.0,1.0,0.25,0.75,51.91581108829569,6.079805778296015,0.0,1.0,0.0,48.7419575633128,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01023,PORTO ACRE,5,1,5,4,0.0,0.8,0.4,0.8,58.23682409308692,2.2338278762441846,0.0,1.0,0.0,58.625598904859686,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01031,SANTA ROSA DO PURUS,5,1,5,4,0.2,1.0,0.2,0.4,49.27802874743327,3.460656066135755,0.0,1.0,0.0,48.09582477754962,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01040,MARECHAL THAUMATURGO,4,1,3,3,0.25,0.5,0.75,0.25,40.440793976728266,7.372138476207085,0.0,0.0,1.0,48.73648186173853,0,0,0,0.0,0.0,0.0,0.375,2.6666666666666665
executive,2020,AC,01058,BRASILÉIA,3,1,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,56.14875655943418,20.824011795949083,1.0,0.0,1.0,38.888432580424364,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AC,01066,PORTO WALTER,2,1,2,2,0.0,1.0,0.5,1.0,44.90212183436003,4.357829882138039,0.0,1.0,0.0,41.82067077344285,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AC,01074,CRUZEIRO DO SUL,3,1,3,3,0.0,0.6666666666666666,1.0,0.6666666666666666,43.37577002053388,7.5420648572393105,0.0,1.0,1.0,52.016427104722794,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AC,01082,RODRIGUES ALVES,5,1,5,5,0.0,0.8,0.6,0.4,48.14784394250513,7.450837202791322,0.0,1.0,1.0,47.5564681724846,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01090,MÂNCIO LIMA,3,1,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,49.666438512434404,6.286629066978599,0.0,1.0,0.0,56.492813141683776,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AC,01104,JORDÃO,5,1,5,4,0.4,1.0,0.6,0.6,45.52388774811773,10.405193649991073,0.0,1.0,0.0,36.33401779603012,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01112,EPITACIOLÂNDIA,4,1,4,4,0.25,0.75,1.0,0.75,46.71663244353182,9.321806434411435,0.0,0.0,1.0,43.945242984257355,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01120,ACRELÂNDIA,4,1,4,4,0.25,0.75,0.25,0.75,45.629021218343595,11.712303590859815,0.0,1.0,0.0,51.123887748117724,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01139,FEIJÓ,4,1,4,3,0.0,0.25,0.75,1.0,54.50444900752909,14.455830615343574,0.0,0.0,1.0,52.16427104722793,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01392,RIO BRANCO,7,1,7,7,0.14285714285714285,0.5714285714285714,1.0,0.7142857142857143,51.174342426909156,8.605269998404834,0.0,1.0,1.0,67.53456536618754,0,0,0,0.0,0.0,0.0,0.14285714285714285,7.0
executive,2020,AC,01457,SENA MADUREIRA,2,1,2,2,0.0,0.5,0.5,1.0,48.96098562628337,3.329838914827826,0.0,1.0,0.0,51.31553730321698,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AC,01473,TARAUACÁ,6,1,6,5,0.16666666666666666,1.0,0.6666666666666666,0.6666666666666666,47.926534337211955,8.635010793323259,1.0,1.0,1.0,38.80355920602327,0,0,0,0.0,0.0,0.0,0.16666666666666669,5.999999999999999
executive,2020,AC,01490,XAPURI,4,1,4,3,0.25,0.5,0.75,0.5,43.629705681040384,9.762789809341918,0.0,1.0,1.0,56.12320328542094,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01511,PLÁCIDO DE CASTRO,4,1,4,4,0.25,0.25,0.5,0.75,57.67898699520876,5.752521118337625,0.0,0.0,1.0,55.54551676933607,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AC,01538,SENADOR GUIOMARD,5,1,5,4,0.4,0.8,0.6,0.8,43.69281314168378,3.57308325037036,1.0,1.0,0.0,41.39356605065024,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AC,01554,MANOEL URBANO,2,1,2,2,0.0,1.0,0.0,0.5,47.90554414784394,6.576431856784944,0.0,1.0,0.0,52.55578370978782,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AC,01570,ASSIS BRASIL,5,1,5,5,0.0,0.8,0.6,0.6,47.167693360711844,11.154314916385164,0.0,1.0,1.0,36.95277207392197,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
executive,2020,AL,27006,PARIPUEIRA,2,1,2,2,0.0,0.5,0.5,0.5,51.51129363449692,9.41066684010351,0.0,0.0,1.0,58.16563997262149,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,27014,ÁGUA BRANCA,5,1,4,4,0.2,0.8,0.4,0.8,50.945379876796714,12.325838360331668,0.0,1.0,0.0,57.68104038329911,0,0,0,0.0,0.0,0.0,0.28,3.571428571428571
executive,2020,AL,27022,PARICONHA,4,1,3,3,0.25,0.25,0.0,0.75,53.083504449007535,10.650337480128902,0.0,0.0,0.0,41.686516084873375,0,0,0,0.0,0.0,0.0,0.375,2.6666666666666665
executive,2020,AL,27030,ANADIA,3,1,3,2,0.0,1.0,0.3333333333333333,0.6666666666666666,39.02076203513575,12.098021530843152,0.0,1.0,0.0,52.92265571526352,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
