"ano","sigla_uf","nome_municipio","n_polls"
2020,"AL","Maceió",9
2020,"MT","Cuiabá",7
2020,"CE","Fortaleza",13
2020,"AM","Manaus",15
2024,"SC","Florianópolis",1
2024,"PI","Teresina",4
2000,"RJ","Campos dos Goytacazes",2
2000,"RJ","Duque de Caxias",3
2000,"RJ","Petrópolis",2
2000,"RJ","São Gonçalo",4
2000,"RJ","São João do Meriti",2
2000,"RJ","Volta Redonda",3
2000,"SP","São Paulo",66
2000,"BA","Salvador",21
2000,"PE","Olinda",6
2000,"PE","Recife",39
2000,"RJ","Nova Iguaçu",6
2000,"RJ","Rio de Janeiro",47
2000,"RN","Natal",7
2000,"RS","Porto Alegre",41
2000,"AL","Maceió",22
2000,"MA","São Luís",16
2000,"MG","Belo Horizonte",30
2000,"SP","Campinas",21
2000,"SP","Santos",20
2000,"SP","São José do Rio Preto",13
2000,"SP","São José dos Campos",16
2000,"CE","Fortaleza",26
2000,"PR","Curitiba",32
2000,"SP","Diadema",22
2000,"SP","Guarulhos",20
2000,"SP","Osasco",13
2000,"SP","Ribeirão Preto",13
2000,"SP","Santo André",15
2000,"SP","São Bernardo do Campo",16
2000,"SP","São Caetano do Sul",16
2000,"PE","Petrolina",3
2000,"MG","Contagem",4
2000,"MA","Imperatriz",6
2000,"PA","Belém",9
2000,"GO","Goiânia",14
2000,"PB","Campina Grande",4
2000,"PE","Jaboatão dos Guararapes",4
2000,"RJ","Niterói",11
2000,"SC","Florianópolis",8
2000,"GO","Anapolis",3
2000,"MG","Juiz de Fora",5
2000,"SP","Taubaté",3
2000,"MG","Ipatinga",4
2000,"SP","Mauá",9
2000,"MG","Betim",3
2000,"MG","Governador Valadares",4
2000,"MG","Montes Claros",5
2000,"SP","Jacareí",4
2000,"TO","Palmas",6
2000,"MS","Campo Grande",5
2000,"MT","Cuiabá",4
2000,"SE","Aracajú",8
2000,"RS","Caxias do Sul",13
2000,"AC","Rio Branco",4
2000,"AM","Manaus",10
2000,"SC","Criciúma",6
2000,"CE","Juazeiro do Norte",3
2000,"SP","Presidente Prudente",5
