municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
00019,RO,GUAJARÁ-MIRIM,3.0,1.0,3.0,1299.0,433.0,9500.0,3166.6666666666665,3.0,2.0,36.0,2.0,1.0,2.0,840.0,420.0,9000.0,4500.0,1.0,2.0,10.0,-1.0,0.0,-1.0,-459.0,-13.0,-500.0,1333.3333333333335,-2.0,0.0,-26.0,1,1
00035,RO,PORTO VELHO,27.0,1.0,6.0,18871.0,698.925925925926,5318336.0,196975.40740740742,20.0,9.0,295.0,61.0,1.0,13.0,44265.0,725.655737704918,1313798.8,21537.68524590164,36.0,16.0,254.0,34.0,0.0,7.0,25394.0,26.72981177899203,-4004537.2,-175437.72216150578,16.0,7.0,-41.0,1,1
00051,RO,JI-PARANÁ,10.0,1.0,4.0,5545.0,554.5,37400.0,3740.0,10.0,7.0,257.0,4.0,1.0,3.0,1511.0,377.75,21000.0,5250.0,1.0,2.0,245.0,-6.0,0.0,-1.0,-4034.0,-176.75,-16400.0,1510.0,-9.0,-5.0,-12.0,1,1
00078,RO,ARIQUEMES,13.0,1.0,6.0,6890.0,530.0,64200.0,4938.461538461538,12.0,9.0,95.0,2.0,1.0,1.0,623.0,311.5,8000.0,4000.0,0.0,2.0,29.0,-11.0,0.0,-5.0,-6267.0,-218.5,-56200.0,-938.4615384615381,-12.0,-7.0,-66.0,1,1
00094,RO,CACOAL,8.0,1.0,5.0,3556.0,444.5,28250.0,3531.25,7.0,6.0,255.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-8.0,-1.0,-5.0,-3556.0,,,,-7.0,-6.0,,0,1
00116,RO,PIMENTA BUENO,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3.0,1.0,3.0,1400.0,466.6666666666667,26000.0,8666.666666666666,2.0,3.0,24.0,3.0,1.0,3.0,1400.0,,,,2.0,3.0,,0,1
00132,RO,VILHENA,25.0,1.0,7.0,13233.0,529.32,83600.0,3344.0,22.0,14.0,254.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-25.0,-1.0,-7.0,-13233.0,,,,-22.0,-14.0,,0,1
00159,RO,JARU,5.0,1.0,3.0,2120.0,424.0,16000.0,3200.0,5.0,5.0,22.0,4.0,1.0,2.0,1623.0,405.75,13000.0,3250.0,4.0,3.0,41.0,-1.0,0.0,-1.0,-497.0,-18.25,-3000.0,50.0,-1.0,-2.0,19.0,1,1
00175,RO,OURO PRETO DO OESTE,5.0,1.0,2.0,1478.0,295.6,17500.0,3500.0,5.0,2.0,122.0,5.0,1.0,2.0,2020.0,404.0,23800.0,4760.0,3.0,5.0,30.0,0.0,0.0,0.0,542.0,108.39999999999998,6300.0,1260.0,-2.0,3.0,-92.0,1,1
00191,RO,PRESIDENTE MÉDICI,1.0,1.0,1.0,578.0,578.0,2000.0,2000.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0,250.0,3000.0,3000.0,0.0,1.0,15.0,0.0,0.0,0.0,-328.0,-328.0,1000.0,1000.0,-1.0,0.0,-12.0,1,1
