election_year,state,municipality_id_tse,municipality_name,n_polls,n_firms,total_sample,mean_sample,total_cost,mean_cost,n_own_polls,n_polls_last30,last_poll_days_before_election,polled
2020,AC,01023,PORTO ACRE,1,1,300.0,300.0,3000.0,3000.0,1,1,13,1
2020,AC,01074,CRUZEIRO DO SUL,7,4,4252.0,607.4285714285714,40000.0,5714.285714285715,7,4,276,1
2020,AC,01082,RODRIGUES ALVES,1,1,250.0,250.0,3000.0,3000.0,1,1,15,1
2020,AC,01112,EPITACIOLÂNDIA,3,1,832.0,277.3333333333333,6000.0,2000.0,3,1,156,1
2020,AC,01139,FEIJÓ,2,2,510.0,255.0,6000.0,3000.0,2,1,156,1
2020,AC,01392,RIO BRANCO,28,7,19343.0,690.8214285714286,366636.04,13094.144285714285,20,17,276,1
2020,AC,01457,SENA MADUREIRA,4,3,1340.0,335.0,17000.0,4250.0,3,3,156,1
2020,AC,01473,TARAUACÁ,4,3,1320.0,330.0,20000.0,5000.0,3,3,156,1
2020,AC,01511,PLÁCIDO DE CASTRO,2,1,593.0,296.5,4000.0,2000.0,2,1,156,1
2020,AC,01538,SENADOR GUIOMARD,6,4,1721.0,344.2,25100.0,4183.333333333333,4,4,156,1
2020,AC,01554,MANOEL URBANO,1,1,100.0,100.0,2500.0,2500.0,0,0,109,1
2020,AL,27006,PARIPUEIRA,1,1,700.0,700.0,4000.0,4000.0,1,0,56,1
2020,AL,27022,PARICONHA,1,1,725.0,725.0,8000.0,8000.0,0,1,12,1
2020,AL,27049,ESTRELA DE ALAGOAS,2,1,1800.0,900.0,8500.0,4250.0,2,0,193,1
2020,AL,27057,ARAPIRACA,5,3,4139.0,827.8,33000.0,6600.0,4,3,241,1
2020,AL,27065,JEQUIÁ DA PRAIA,3,3,1585.0,528.3333333333334,22500.0,7500.0,3,3,25,1
2020,AL,27073,ATALAIA,4,3,3020.0,755.0,24500.0,6125.0,4,2,156,1
2020,AL,27081,CAMPESTRE,1,1,744.0,744.0,6000.0,6000.0,1,1,30,1
2020,AL,27090,BARRA DE SANTO ANTÔNIO,1,1,700.0,700.0,4000.0,4000.0,1,0,49,1
2020,AL,27111,BARRA DE SÃO MIGUEL,3,2,1900.0,633.3333333333334,23000.0,7666.666666666667,2,2,156,1
2020,AL,27138,BATALHA,3,1,2250.0,750.0,15000.0,5000.0,2,1,108,1
2020,AL,27170,BELO MONTE,6,2,3602.0,600.3333333333334,24000.0,4000.0,3,1,206,1
2020,AL,27197,BOCA DA MATA,1,1,800.0,800.0,5000.0,5000.0,0,1,16,1
2020,AL,27278,CAMPO ALEGRE,1,1,800.0,800.0,5000.0,5000.0,0,1,18,1
2020,AL,27316,CANAPI,5,2,4600.0,920.0,28500.0,5700.0,3,2,133,1
2020,AL,27332,CAPELA,3,1,2250.0,750.0,15000.0,5000.0,2,1,55,1
2020,AL,27359,CARNEIROS,2,1,1200.0,600.0,8000.0,4000.0,2,0,192,1
2020,AL,27391,COITÉ DO NÓIA,4,4,3082.0,770.5,18000.0,4500.0,4,2,269,1
2020,AL,27413,COLÔNIA LEOPOLDINA,1,1,800.0,800.0,5000.0,5000.0,0,0,40,1
2020,AL,27430,COQUEIRO SECO,2,1,800.0,400.0,9000.0,4500.0,1,1,45,1
