CD_ASSUNTO_PRINCIPAL,DS_ASSUNTO_PRINCIPAL,suggested_family,manual_family,notes
11484,Calúnia na Propaganda Eleitoral,information_environment,,
11501,Corrupção Eleitoral,campaign_conduct,,
11513,Arregimentação de Eleitor ou Boca de Urna,campaign_conduct,,
11596,Inelegibilidade - Abuso do Poder Econômico ou Político,eligibility_ballot_access,,
11616,Impugnação ao Registro de Candidatura,eligibility_ballot_access,,
11617,Registro de Candidatura - Preenchimento de Vaga Remanescente,eligibility_ballot_access,,
11618,Registro de Candidatura - RRC - Candidato,eligibility_ballot_access,,
11619,Registro de Candidatura - RRCI - Candidato Individual,eligibility_ballot_access,,
11621,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,eligibility_ballot_access,,
11649,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,campaign_conduct,,
11650,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Sem Prévio Registro,campaign_conduct,,
11651,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,campaign_conduct,,
11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,,
11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,,
11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,,
11658,Propaganda Política - Propaganda Eleitoral - Bem Público,campaign_conduct,,
11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,,
11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,,
11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,,
11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,,
11700,Doação de Recursos Acima do Limite Legal - Pessoa Física,campaign_conduct,,
11718,Abuso - De Poder Econômico,abuse_misuse_office,,
11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,,
12044,Registro de Candidatura - DRAP Partido/Coligação,eligibility_ballot_access,,
12063,Conduta Vedada ao Agente Público,abuse_misuse_office,,
12362,Autorização de Divulgação de Publicidade Institucional,abuse_misuse_office,,
12597,Candidatura Fictícia,abuse_misuse_office,,
12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,,
12637,Propaganda Política - Propaganda Eleitoral - Redes Sociais,information_environment,,
12638,Propaganda Política - Propaganda Eleitoral - Impulsionamento,information_environment,,
12639,Propaganda Política - Propaganda Eleitoral - Aplicativo de Mensagem Instantânea,information_environment,,
