pair_id,cod_classe,cod_assunto,classe,assunto,n_2020,n_2024,n_total,family_micro,fam_subst13,fam_subst11,fam_theme9,fam_theme7,fam_triad3,fam_fine8,fam_fine7,fam_fine7_archive,fam_fine7_literal
1849,11532,11618,REGISTRO DE CANDIDATURA,Registro de Candidatura - RRC - Candidato,542211,451833,994044,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1648,12193,11638,PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Vereador,503296,409874,913170,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1660,12193,11767,PRESTAÇÃO DE CONTAS ELEITORAIS,Partido Político - Órgão de Direção Municipal,64081,58085,122166,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1847,11532,12044,REGISTRO DE CANDIDATURA,Registro de Candidatura - DRAP Partido/Coligação,61458,56184,117642,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
457,12550,12566,COMPOSIÇÃO DE MESA RECEPTORA,Ausência ou Abandono aos Trabalhos Eleitorais,22331,14470,36801,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1647,12193,11633,PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Prefeito,18009,13796,31805,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
535,156,12366,CUMPRIMENTO DE SENTENÇA,Execução - Cumprimento de Sentença,6591,17488,24079,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1662,12193,12046,PRESTAÇÃO DE CONTAS ELEITORAIS,Prestação de Contas - De Candidato,7384,6261,13645,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1848,11532,11617,REGISTRO DE CANDIDATURA,Registro de Candidatura - Preenchimento de Vaga Remanescente,7070,4159,11229,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1938,11541,11667,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,5195,5581,10776,prop_timing,prop_timing,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
523,156,11638,CUMPRIMENTO DE SENTENÇA,Cargo - Vereador,2925,7230,10155,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1937,11541,12635,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,3473,5143,8616,content_disinfo,content_disinfo,content_disinfo,content_disinfo,content_disinfo,information_env,content_disinfo,propaganda,propaganda,propaganda
1852,11532,11621,REGISTRO DE CANDIDATURA,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,3805,4260,8065,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1833,11532,11616,REGISTRO DE CANDIDATURA,Impugnação ao Registro de Candidatura,4807,3098,7905,candidacy_challenge,candidacy_challenge,candidacy_challenge,candidacy,candidacy,strategic_attack,eligibility,eligibility,eligibility,eligibility
20,11530,11714,APURAÇÃO DE ELEIÇÃO,Apuração/Totalização de Votos,4025,3730,7755,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1946,11541,11679,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Internet,3657,3199,6856,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1913,11541,11649,REPRESENTAÇÃO,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,2952,3849,6801,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,pesquisa
1951,11541,12637,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Redes Sociais,3408,3018,6426,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
816,12554,12586,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Lista Especial,4845,1332,6177,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1850,11532,11619,REGISTRO DE CANDIDATURA,Registro de Candidatura - RRCI - Candidato Individual,3772,1827,5599,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2228,12633,11638,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Cargo - Vereador,4670,832,5502,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
814,12554,11757,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Coexistência,2186,2922,5108,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
123,11527,11718,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Abuso - De Poder Econômico,2427,2365,4792,abuse_economic,abuse_economic,abuse_economic,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
2235,12633,11767,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Partido Político - Órgão de Direção Municipal,3253,1320,4573,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
813,12554,11756,FILIAÇÃO PARTIDÁRIA,Filiação Partidária - Cancelamento,2588,1820,4408,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1920,11541,11654,REPRESENTAÇÃO,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,1975,1624,3599,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1665,12193,12069,PRESTAÇÃO DE CONTAS ELEITORAIS,Prestação de Contas - de Partido Político,2285,1254,3539,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
2243,12633,12598,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,Requerimento de Regularização da Situação de Inadimplência de Prestação de Contas,3102,410,3512,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1879,11541,11633,REPRESENTAÇÃO,Cargo - Prefeito,2661,841,3502,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
124,11527,11719,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,Abuso - De Poder Político/Autoridade,1661,1721,3382,abuse_political,abuse_political,abuse_political,abuse_power,abuse_power,strategic_attack,abuse,abuse,abuse,abuse
1653,12193,11698,PRESTAÇÃO DE CONTAS ELEITORAIS,Contas - Não Apresentação das Contas,2315,950,3265,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
1194,12561,11679,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Internet,2897,277,3174,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1171,12561,11655,NOTÍCIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,1725,1424,3149,prop_placement,prop_placement,illegal_advertisement,illegal_advertisement,illegal_advertisement,information_env,illegal_advertisement,propaganda,propaganda,propaganda
1915,11541,11651,REPRESENTAÇÃO,Pesquisa Eleitoral - Registro de Pesquisa Eleitoral,1324,1810,3134,electoral_polls,electoral_polls,electoral_polls,electoral_polls,electoral_polls,information_env,pesquisa,pesquisa,pesquisa,pesquisa
2197,12630,11700,REPRESENTAÇÃO ESPECIAL,Doação de Recursos Acima do Limite Legal - Pessoa Física,1253,1671,2924,campaign_finance,campaign_finance,campaign_finance,campaign_finance,campaign_finance,strategic_attack,abuse,abuse,abuse,drop
