election_year,uf,zona,id_municipio,id_municipio_tse,assunto,n_proc,n_proc_orig,n_proc_pre_eleic,n_dec,tempo_med_dias
2020,AC,1,1200401,1392,Abuso - De Poder Econômico,1,0,0,9,2000.5
2020,AC,1,1200401,1392,Calúnia na Propaganda Eleitoral,1,1,0,2,1841.1
2020,AC,1,1200401,1392,Captação ou Gasto Ilícito de Recursos Financeiros de Campanha Eleitoral,2,2,0,5,2028.4
2020,AC,1,1200401,1392,Cargo - Prefeito,7,7,7,24,2065.8
2020,AC,1,1200401,1392,Cargo - Vereador,521,509,502,2731,2054.9
2020,AC,1,1200401,1392,Cautelar Inominada - De Produção Antecipada de Provas,1,1,0,3,1411.6
2020,AC,1,1200401,1392,Citação,3,0,0,5,778.2
2020,AC,1,1200401,1392,Convenção Partidária,1,0,0,1,679.6
2020,AC,1,1200401,1392,Corrupção Eleitoral,5,5,0,77,920.3
2020,AC,1,1200401,1392,Criação do Partido Político,2,2,2,6,2298.5
2020,AC,1,1200401,1392,Descumprimento da Proibição de Fornecimento de Transporte ou Refeições a Eleitores,2,2,0,21,1094.0
2020,AC,1,1200401,1392,Divulgação de Propaganda Eleitoral no Dia da Eleição,1,1,0,5,1944.2
2020,AC,1,1200401,1392,Doação de Recursos Acima do Limite Legal - Pessoa Física,14,14,0,30,1708.2
2020,AC,1,1200401,1392,Eleições - 1° Turno,1,1,1,2,2058.3
2020,AC,1,1200401,1392,Erro de Procedimento,1,0,0,4,592.6
2020,AC,1,1200401,1392,Execução - Cumprimento de Sentença,13,12,8,180,1952.1
2020,AC,1,1200401,1392,Filiação Partidária - Cancelamento,5,5,5,10,2195.2
2020,AC,1,1200401,1392,Filiação Partidária - Coexistência,3,3,3,8,2165.0
2020,AC,1,1200401,1392,Filiação Partidária - Exclusão,2,2,2,3,2200.6
2020,AC,1,1200401,1392,Inelegibilidade - Abuso do Poder Econômico ou Político,1,1,1,1,2069.2
2020,AC,1,1200401,1392,Inelegibilidade - Representação ou Ação de Investigação Judicial Eleitoral Jugada Procedente pela Justiça Eleitoral,1,1,1,4,2049.5
2020,AC,1,1200401,1392,Intimação,8,0,0,16,220.8
2020,AC,1,1200401,1392,Matéria Administrativa,1,1,0,1,1688.4
2020,AC,1,1200401,1392,Não-Acesso dos Partidos aos Dados Relativos às Pesquisas Eleitorais,1,1,1,2,2049.9
2020,AC,1,1200401,1392,Partido Político - Órgão de Direção Municipal,28,27,23,113,2022.6
2020,AC,1,1200401,1392,Processamento de Recurso Contra Expedição de Diploma,2,0,0,5,2012.5
2020,AC,1,1200401,1392,Propaganda Política - Propaganda Eleitoral - Bem Público,3,2,2,8,2067.9
2020,AC,1,1200401,1392,Registro de Candidatura - DRAP Partido/Coligação,34,34,34,45,2099.0
2020,AC,1,1200401,1392,Registro de Candidatura - Preenchimento de Vaga Remanescente,5,5,5,6,2097.9
2020,AC,1,1200401,1392,Registro de Candidatura - RRC - Candidato,550,548,550,750,2098.7
2020,AC,1,1200401,1392,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,1,1,1,1,2081.6
