election_year,uf,zona,id_municipio,id_municipio_tse,classe,n_proc,n_proc_orig,n_proc_pre_eleic,n_dec,tempo_med_dias
2020,AC,1,1200401,1392,AÇÃO DE IMPUGNAÇÃO DE MANDATO ELETIVO,1,0,0,9,2000.5
2020,AC,1,1200401,1392,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,1,1,1,4,2049.5
2020,AC,1,1200401,1392,AÇÃO PENAL ELEITORAL,5,5,0,74,936.5
2020,AC,1,1200401,1392,CARTA PRECATÓRIA CRIMINAL,2,0,0,3,338.6
2020,AC,1,1200401,1392,CARTA PRECATÓRIA CÍVEL,9,0,0,18,380.4
2020,AC,1,1200401,1392,CUMPRIMENTO DE SENTENÇA,92,83,85,1291,2050.3
2020,AC,1,1200401,1392,EXECUÇÃO DE MEDIDAS ALTERNATIVAS NO JUÍZO COMUM,1,1,0,20,211.6
2020,AC,1,1200401,1392,FILIAÇÃO PARTIDÁRIA,11,11,11,23,2190.8
2020,AC,1,1200401,1392,INQUÉRITO POLICIAL,2,2,0,7,1892.7
2020,AC,1,1200401,1392,LISTA DE APOIAMENTO PARA CRIAÇÃO DE PARTIDO POLÍTICO,2,2,2,6,2298.5
2020,AC,1,1200401,1392,PETIÇÃO CÍVEL,16,12,11,27,1872.6
2020,AC,1,1200401,1392,PRESTAÇÃO DE CONTAS ELEITORAIS,468,463,452,1740,2065.8
2020,AC,1,1200401,1392,PROCESSO ADMINISTRATIVO,1,1,0,1,1688.4
2020,AC,1,1200401,1392,REGISTRO DE CANDIDATURA,587,585,587,800,2098.7
2020,AC,1,1200401,1392,REPRESENTAÇÃO,20,19,5,42,1816.6
2020,AC,1,1200401,1392,REPRESENTAÇÃO CRIMINAL/NOTÍCIA DE CRIME,1,1,0,4,1895.4
2020,AC,1,1200401,1392,REPRESENTAÇÃO ESPECIAL,2,2,0,5,2028.4
2020,AC,1,1200401,1392,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,8,8,0,17,955.8
2020,AC,1,1200401,1392,TUTELA ANTECIPADA ANTECEDENTE,1,1,0,3,1411.6
2020,AC,1,1200807,1023,CUMPRIMENTO DE SENTENÇA,22,22,20,275,2062.0
2020,AC,1,1200807,1023,FILIAÇÃO PARTIDÁRIA,2,2,2,4,2218.8
2020,AC,1,1200807,1023,PETIÇÃO CÍVEL,2,2,1,4,1432.4
2020,AC,1,1200807,1023,PRESTAÇÃO DE CONTAS ELEITORAIS,128,128,96,458,2052.2
2020,AC,1,1200807,1023,REGISTRO DE CANDIDATURA,154,152,154,237,2098.5
2020,AC,1,1200807,1023,REQUERIMENTO DE REGULARIZAÇÃO DE OMISSÃO DE PRESTAÇÃO DE CONTAS ELEITORAIS,11,11,0,23,932.4
2020,AC,11,1200401,1392,CARTA PRECATÓRIA CRIMINAL,1,0,0,1,343.5
2020,AC,19,1200401,1392,CARTA PRECATÓRIA CÍVEL,1,0,0,1,194.4
2020,AC,2,1200179,1015,AÇÃO DE INVESTIGAÇÃO JUDICIAL ELEITORAL,1,1,0,1,2015.5
