election_year,uf,zona,id_municipio,id_municipio_tse,pair_id,n_proc,n_proc_orig,n_proc_pre_eleic,n_dec,tempo_med_dias
2020,AC,1,1200401,1392,89,1,0,0,9,2000.5
2020,AC,1,1200401,1392,161,1,1,1,4,2049.5
2020,AC,1,1200401,1392,205,3,3,0,53,831.6
2020,AC,1,1200401,1392,225,2,2,0,21,1094.0
2020,AC,1,1200401,1392,354,2,0,0,3,338.6
2020,AC,1,1200401,1392,376,1,0,0,2,1657.5
2020,AC,1,1200401,1392,380,8,0,0,16,220.8
2020,AC,1,1200401,1392,523,78,71,76,1099,2066.4
2020,AC,1,1200401,1392,535,13,12,8,180,1952.1
2020,AC,1,1200401,1392,543,1,0,1,12,2069.7
2020,AC,1,1200401,1392,725,1,1,0,20,211.6
2020,AC,1,1200401,1392,813,5,5,5,10,2195.2
2020,AC,1,1200401,1392,814,3,3,3,8,2165.0
2020,AC,1,1200401,1392,815,2,2,2,3,2200.6
2020,AC,1,1200401,1392,821,1,1,1,2,2226.6
2020,AC,1,1200401,1392,907,1,1,0,2,1841.1
2020,AC,1,1200401,1392,967,1,1,0,5,1944.2
2020,AC,1,1200401,1392,1100,2,2,2,6,2298.5
2020,AC,1,1200401,1392,1416,2,2,2,2,2080.9
2020,AC,1,1200401,1392,1444,1,0,0,1,679.6
2020,AC,1,1200401,1392,1474,1,0,0,4,592.6
2020,AC,1,1200401,1392,1536,1,1,1,2,2049.9
2020,AC,1,1200401,1392,1560,2,0,0,5,2012.5
2020,AC,1,1200401,1392,1603,4,4,4,4,2100.2
2020,AC,1,1200401,1392,1614,3,3,3,4,2053.3
2020,AC,1,1200401,1392,1616,2,2,1,5,1946.2
2020,AC,1,1200401,1392,1647,7,7,7,24,2065.8
2020,AC,1,1200401,1392,1648,435,430,423,1617,2066.4
2020,AC,1,1200401,1392,1660,26,26,22,99,2055.7
2020,AC,1,1200401,1392,1764,1,1,0,1,1688.4
2020,AC,1,1200401,1392,1820,1,1,1,2,2094.3
2020,AC,1,1200401,1392,1847,34,34,34,45,2099.0
2020,AC,1,1200401,1392,1848,5,5,5,6,2097.9
2020,AC,1,1200401,1392,1849,546,544,546,746,2098.7
2020,AC,1,1200401,1392,1852,1,1,1,1,2081.6
2020,AC,1,1200401,1392,1894,14,14,0,30,1708.2
2020,AC,1,1200401,1392,1896,1,1,1,2,2058.3
2020,AC,1,1200401,1392,1906,1,1,1,1,2069.2
2020,AC,1,1200401,1392,1925,3,2,2,8,2067.9
2020,AC,1,1200401,1392,1966,1,1,1,1,2086.4
2020,AC,1,1200401,1392,2020,1,1,0,4,1895.4
2020,AC,1,1200401,1392,2190,2,2,0,5,2028.4
2020,AC,1,1200401,1392,2228,5,5,0,11,856.1
2020,AC,1,1200401,1392,2235,1,1,0,2,1112.5
2020,AC,1,1200401,1392,2243,2,2,0,4,1126.8
2020,AC,1,1200401,1392,2433,1,1,0,3,1411.6
2020,AC,1,1200807,1023,522,1,1,1,15,2067.4
2020,AC,1,1200807,1023,523,18,18,17,230,2064.1
2020,AC,1,1200807,1023,535,2,2,1,22,2037.9
2020,AC,1,1200807,1023,543,1,1,1,8,2067.2
2020,AC,1,1200807,1023,816,2,2,2,4,2218.8
2020,AC,1,1200807,1023,1474,1,1,0,2,798.5
2020,AC,1,1200807,1023,1614,1,1,1,2,2066.2
2020,AC,1,1200807,1023,1647,4,4,4,12,2066.0
2020,AC,1,1200807,1023,1648,106,106,83,379,2056.0
2020,AC,1,1200807,1023,1660,17,17,9,64,2029.6
2020,AC,1,1200807,1023,1665,1,1,0,3,1972.3
2020,AC,1,1200807,1023,1847,18,18,18,23,2099.3
2020,AC,1,1200807,1023,1848,3,3,3,3,2091.7
2020,AC,1,1200807,1023,1849,133,131,133,211,2098.6
2020,AC,1,1200807,1023,2228,9,9,0,18,885.1
2020,AC,1,1200807,1023,2235,1,1,0,4,1107.5
2020,AC,1,1200807,1023,2243,1,1,0,1,1182.5
2020,AC,11,1200401,1392,354,1,0,0,1,343.5
2020,AC,19,1200401,1392,380,1,0,0,1,194.4
2020,AC,2,1200179,1015,129,1,1,0,1,2015.5
2020,AC,2,1200179,1015,205,1,1,0,11,2030.1
2020,AC,2,1200179,1015,523,1,1,1,14,2069.1
2020,AC,2,1200179,1015,535,2,2,2,31,2068.5
2020,AC,2,1200179,1015,813,2,2,2,2,2086.0
2020,AC,2,1200179,1015,820,1,1,1,1,2085.5
2020,AC,2,1200179,1015,821,2,2,2,5,2169.3
2020,AC,2,1200179,1015,1416,1,1,1,2,2085.5
2020,AC,2,1200179,1015,1560,1,0,0,1,2013.5
2020,AC,2,1200179,1015,1647,3,3,3,6,2066.6
2020,AC,2,1200179,1015,1648,102,96,80,332,2054.9
2020,AC,2,1200179,1015,1660,16,16,8,73,2023.5
2020,AC,2,1200179,1015,1665,1,1,0,4,2035.2
2020,AC,2,1200179,1015,1847,15,12,15,37,2097.5
2020,AC,2,1200179,1015,1848,2,2,2,4,2076.5
2020,AC,2,1200179,1015,1849,110,103,110,265,2097.2
2020,AC,2,1200179,1015,1924,1,1,1,1,2057.3
2020,AC,2,1200179,1015,2228,4,4,0,10,718.0
