municipality_id_tse,total_per_cand_2020,total_per_cand_2024,legal_per_cand_2020,legal_per_cand_2024,marketing_per_cand_2020,marketing_per_cand_2024,traditional_marketing_per_cand_2020,traditional_marketing_per_cand_2024,online_marketing_per_cand_2020,online_marketing_per_cand_2024,delta_total_per_cand,delta_legal_per_cand,delta_marketing_per_cand,delta_traditional_marketing_per_cand,delta_online_marketing_per_cand,cod_ibge
00019,100443.49833095606,163181.248,18951.626536046377,19800.0,30341.438211493652,47830.532,28538.973731163154,47540.0,1802.4644803304975,290.53200000000004,62737.74966904393,848.3734639536233,17489.093788506347,19001.026268836846,-1511.9324803304976,1100106
00035,484183.66602136486,2861934.8785714284,25268.223957169484,226785.7142857143,287047.82590176363,1555435.8942857143,262126.76493422396,1406361.4085714289,24921.060967539644,149074.4857142857,2377751.2125500636,201517.4903285448,1268388.0683839507,1144234.643637205,124153.42474674605,1100205
00051,276929.66795575875,617122.4999999999,28592.573139209886,133333.33333333334,107126.34966434458,183535.00333333333,100134.25888023805,159880.30000000002,6992.090784106551,23654.703333333335,340192.83204424114,104740.76019412346,76408.65366898874,59746.04111976197,16662.612549226782,1100122
00078,456448.60417170776,891563.6675,48537.79350604269,107500.0,169900.58773532027,275490.78,152610.6583535891,241984.055,17289.929381731174,33506.725,435115.0633282922,58962.20649395731,105590.19226467976,89373.3966464109,16216.795618268825,1100023
00094,163415.2106705895,438714.43999999994,23389.12242333622,38333.333333333336,79181.87837853012,218818.92333333334,72572.84195065162,206942.25666666668,6609.036427878491,11876.666666666666,275299.2293294105,14944.210909997117,139637.04495480322,134369.41471601505,5267.630238788175,1100049
00116,141988.3412037651,135658.90333333332,34905.60014434768,23333.333333333332,37365.217424714094,59154.833333333336,37107.72249895259,43821.5,257.49492576149964,15333.333333333334,-6329.437870431779,-11572.266811014346,21789.615908619242,6713.777501047407,15075.838407571835,1100189
00132,221109.64132606058,695535.7633333333,15320.94808280923,110200.0,82356.64919096025,304249.76,75378.5367028236,290249.76,6978.112488136641,14000.0,474426.12200727273,94879.05191719077,221893.11080903976,214871.22329717642,7021.887511863359,1100304
00159,193245.52145444657,732650.44,45061.61200826245,65000.0,52804.638922866194,239261.075,52701.640952561596,231261.075,102.99797030459986,8000.0,539404.9185455533,19938.387991737553,186456.4360771338,178559.4340474384,7897.0020296954,1100114
00175,118832.8482181544,228807.4,6437.373144037491,10000.0,70065.27053194422,64541.36666666666,64786.62455383347,59795.36666666666,5278.645978110743,4746.0,109974.5517818456,3562.6268559625087,-5523.903865277556,-4991.257887166808,-532.6459781107433,1100155
00191,75441.44271318713,142470.6133333333,12713.811959474046,5625.536666666667,23624.000711451667,45809.78333333333,23624.000711451667,36757.13333333333,0.0,9052.65,67029.17062014618,-7088.275292807379,22185.782621881666,13133.132621881665,9052.65,1100254
00213,90059.25583959259,84225.46599999999,1866.8382117708725,14100.0,26194.95879771736,17966.48,24263.746854506113,17966.48,1931.2119432112474,0.0,-5833.789839592602,12233.161788229128,-8228.478797717362,-6297.266854506113,-1931.2119432112474,1100080
00230,78791.78000337457,100319.18,5325.316933405014,7200.0,38425.32403407419,28737.0,37430.7498833204,28201.0,994.5741507537924,536.0,21527.39999662542,1874.6830665949856,-9688.32403407419,-9229.7498833204,-458.5741507537924,1100064
00256,92315.37166144312,178497.52000000002,20277.725403718097,38150.0,31421.507114973407,71781.445,29482.509168944445,64870.9,1938.997946028961,6910.545,86182.1483385569,17872.274596281903,40359.9378850266,35388.390831055556,4971.547053971039,1100098
00272,96542.23777235557,234076.195,5149.898515229993,5000.0,45268.20447878299,116063.0,45268.20447878299,110263.0,0.0,5800.0,137533.95722764445,-149.89851522999288,70794.79552121702,64994.79552121701,5800.0,1100056
00299,220040.08722787426,266355.32999999996,13775.978528240234,6333.333333333333,87792.94643736846,99060.78333333333,84919.20006789982,94742.45,2873.7463694686408,4318.333333333333,46315.2427721257,-7442.6451949069005,11267.836895964865,9823.249932100181,1444.5869638646923,1100288
00310,96908.36336992269,138496.83,3701.489557821558,0.0,37086.02855145719,33687.316666666666,28073.7061498047,32687.316666666666,9012.322401652487,1000.0,41588.466630077295,-3701.489557821558,-3398.711884790522,4613.610516861965,-8012.322401652487,1100015
00337,110942.76165986614,70999.54799999998,10728.955240062485,2000.0,29439.98280905941,27033.612,29397.06698809916,25641.482,42.91582096024994,1392.1299999999999,-39943.21365986616,-8728.955240062485,-2406.370809059408,-3755.584988099159,1349.21417903975,1100346
00353,105432.2436468982,141780.0,19312.119432112475,40000.0,31949.841641024,40213.325,31949.841641024,40213.325,0.0,0.0,36347.756353101795,20687.880567887525,8263.483358975998,8263.483358975998,0.0,1100296
00370,90460.14325213751,83877.89666666665,1677.193198947528,7528.666666666667,37259.661671480266,40936.72,36568.540999154306,36553.386666666665,691.1206723259611,4383.333333333333,-6582.246585470857,5851.473467719139,3677.0583285197354,-15.154332487640204,3692.212661007372,1100148
00396,61955.00292369206,134838.64400000003,4433.20430519382,18000.0,25194.483721581535,50163.526,21747.331915626168,42058.7,3447.151805955367,8104.826000000001,72883.64107630798,13566.79569480618,24969.042278418463,20311.36808437383,4657.674194044634,1100130
00418,75739.51883924865,107564.33333333333,772.4847772844989,19166.666666666668,38944.33338138832,38187.0,36907.44294569531,34070.333333333336,2036.8904356930245,4116.666666666667,31824.814494084683,18394.18188938217,-757.3333813883219,-2837.109612361972,2079.7762309736427,1100320
00434,74962.47962046474,105250.39333333333,2253.080600413122,0.0,38646.12593291468,26061.3,38195.50981283205,25726.0,450.6161200826244,335.3,30287.913712868583,-2253.080600413122,-12584.825932914679,-12469.509812832053,-115.31612008262437,1100338
00450,72335.07971936766,181361.46000000002,12874.746288074983,42500.0,18440.57206530543,61818.0,17983.866190228546,59668.0,456.70587507688384,2150.0,109026.38028063237,29625.25371192502,43377.42793469457,41684.133809771454,1693.2941249231162,1100031
00477,95716.88499523014,125591.40000000001,12290.159849700745,28750.0,27630.793419584443,33600.225,22695.4740091557,23350.225,4935.319410428744,10250.0,29874.51500476987,16459.840150299256,5969.431580415556,654.7509908442989,5314.680589571256,1100809
00493,30830.360993365393,174537.655,0.0,7250.0,7587.517145772191,53622.8,7587.517145772191,48602.8,0.0,5020.0,143707.29400663462,7250.0,46035.282854227815,41015.282854227815,5020.0,1101104
00515,84039.35278131906,130954.975,12874.746288074983,22000.0,28115.677822703827,60722.5,28115.677822703827,60552.5,0.0,170.0,46915.62221868095,9125.253711925017,32606.822177296173,32436.822177296173,170.0,1100502
00531,56113.65900642416,74907.46666666666,6952.362995560491,2666.6666666666665,24967.888186911412,22081.666666666668,24538.729977308914,19211.0,429.1582096024994,2870.6666666666665,18793.8076602425,-4285.696328893824,-2886.221520244744,-5327.729977308914,2441.508457064167,1100908
