cod_item,nome,cod_item_pai,depth,path_codes,path_names,descricao,norma,artigo,justica_eleitoral_zonas,justica_eleitoral_tre,justica_eleitoral_tse,situacao,in_panel,anc1_code,anc1_nome,anc2_code,anc2_nome,anc3_code,anc3_nome,anc4_code,anc4_nome,anc5_code,anc5_nome,anc6_code,anc6_nome
10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,,1,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,,,,N,N,N,A,False,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF
11428,DIREITO ELEITORAL,,1,11428,DIREITO ELEITORAL,,,,S,S,S,A,True,11428,DIREITO ELEITORAL,11428,DIREITO ELEITORAL,11428,DIREITO ELEITORAL,11428,DIREITO ELEITORAL,11428,DIREITO ELEITORAL,11428,DIREITO ELEITORAL
1209,DIREITO PROCESSUAL PENAL,,1,1209,DIREITO PROCESSUAL PENAL,,,,N,N,N,A,False,1209,DIREITO PROCESSUAL PENAL,1209,DIREITO PROCESSUAL PENAL,1209,DIREITO PROCESSUAL PENAL,1209,DIREITO PROCESSUAL PENAL,1209,DIREITO PROCESSUAL PENAL,1209,DIREITO PROCESSUAL PENAL
12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",,1,12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO","Assunto pai, dos quais derivará temas de alta compexidade, grande impacto e/ou repercussão social a serem cadastrados complementarmente quando da autuação das demandas envolvendo tais situações, de forma a permitir o correto cumprimento dos objetivos do Observatório Nacional sobre Questões Ambientais, Econômicas e Sociais de Alta Complexidade e Ato Impacto e Repercurssão, instituído pela Portaria Conjunta CNJ e CNMP nº 1/2019. Art. 2º Caberá ao Observatório: I – promover o levantamento de dados estatísticos relativos ao número, à tramitação, às sanções impostas e outros dados relevantes sobre medidas extrajudiciais e judiciais de grande repercussão. II – monitorar o andamento e a solução das medidas extrajudiciais e das ações judiciais de grande impacto e repercussão; III – propor medidas concretas e normativas para o aperfeiçoamento de procedimentos extrajudiciais e o reforço à efetividade dos processos judiciais relativos a fatos de grande impacto e repercussão, incluindo a implantação e modernização de rotinas, prioridades, organização, especialização e estruturação dos órgãos competentes do Poder Judiciário e do Ministério Público; IV – organizar a integração entre membros do Poder Judiciário e do Ministério Público, com a participação de outros segmentos do poder público, da sociedade civil, das comunidades e outros interessados, para a discussão de temas incluídos nas atividades do Observatório; V – coordenar e realizar o estudo e a proposição de outras medidas para monitoramento das demandas de alta repercussão ambiental, econômica e social;",Portaria Conjunta CNJ e CNMP nº 1/2019,"2º, I a V",S,S,S,A,False,12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",12467,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO"
12734,DIREITO ASSISTENCIAL,,1,12734,DIREITO ASSISTENCIAL,,,,N,N,N,A,False,12734,DIREITO ASSISTENCIAL,12734,DIREITO ASSISTENCIAL,12734,DIREITO ASSISTENCIAL,12734,DIREITO ASSISTENCIAL,12734,DIREITO ASSISTENCIAL,12734,DIREITO ASSISTENCIAL
287,DIREITO PENAL,,1,287,DIREITO PENAL,,,,S,S,S,A,False,287,DIREITO PENAL,287,DIREITO PENAL,287,DIREITO PENAL,287,DIREITO PENAL,287,DIREITO PENAL,287,DIREITO PENAL
8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,,1,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,,,,N,N,N,A,False,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO,8826,DIREITO PROCESSUAL CIVIL E DO TRABALHO
9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,,1,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,,,,N,N,N,A,False,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,9985,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO
10740,Partido Político,10739.0,2,10739/10740,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF > Partido Político,,,,N,N,N,A,False,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10740,Partido Político,10740,Partido Político,10740,Partido Político,10740,Partido Político,10740,Partido Político
10763,Eleição,10739.0,2,10739/10763,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF > Eleição,,,,N,N,N,A,False,10739,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,10763,Eleição,10763,Eleição,10763,Eleição,10763,Eleição,10763,Eleição
