subject_code,official_name,what_it_is,ancestor_path,vol,prev_disposition,prev_family,proposed_disposition,proposed_family,instrument_sector,mechanism,note,changed
11618,Registro de Candidatura - RRC - Candidato,Art. 11. Os partidos e coligações solicitarão à Justiça Eleitoral o registro de seus candidatos até as dezenove horas do dia 5 de julho do ano em que se realiza,DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - RRC - Candidato,2627122,DROP,routine_registration,DROP,,,,administrative impugnacao (roll / poll-worker),
11638,Cargo - Vereador,"CE: ""Art. 83. Na eleição direta para o Senado Federal, para Prefeito e Vice-Prefeito, adotar-se-á o princípio majoritário."" Lei n. 9.504/97: ""Art 1º As eleições",DIREITO ELEITORAL > Eleições > Cargos > Cargo - Vereador,2329922,DROP,cargo_tag,DROP,,,,administrative / procedural,
12044,Registro de Candidatura - DRAP Partido/Coligação,<p> Documento que cont&eacute;m os dados dos partidos pol&iacute;ticos e coliga&ccedil;&otilde;es entregue &agrave; Justi&ccedil;a Eleitoral para efetuar o regi,DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - DRAP Partido/Coligação,344425,DROP,routine_registration,DROP,,,,administrative / procedural,
11767,Partido Político - Órgão de Direção Municipal,"Art. 10. As alterações programáticas ou estatutárias, após registradas no Ofício Civil competente, devem ser encaminhadas, para o mesmo fim, ao Tribunal Superio",DIREITO ELEITORAL > Partidos Políticos > Órgão de Direção Partidária > Partido Político - Órgão de Direção Municipal,213367,DROP,party_internal,DROP,,,,administrative / procedural,
11633,Cargo - Prefeito,"CE: ""Art. 83. Na eleição direta para o Senado Federal, para Prefeito e Vice-Prefeito, adotar-se-á o princípio majoritário."" Lei n. 9.504/97: ""Art 1º As eleições",DIREITO ELEITORAL > Eleições > Cargos > Cargo - Prefeito,109995,DROP,cargo_tag,DROP,,,,administrative / procedural,
12366,Execução - Cumprimento de Sentença,,DIREITO ELEITORAL > Execução > Execução - Cumprimento de Sentença,46864,DROP,procedural,DROP,,,,administrative / procedural,
12046,Prestação de Contas - De Candidato,,DIREITO ELEITORAL > Eleições > Prestação de Contas > Prestação de Contas - De Candidato,30683,DROP,accounts,DROP,,,,administrative / procedural,
11617,Registro de Candidatura - Preenchimento de Vaga Remanescente,"Art. 10. Cada partido poderá registrar candidatos para a Câmara dos Deputados, Câmara Legislativa, Assembléias Legislativas e Câmaras Municipais, até cento e ci",DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - Preenchimento de Vaga Remanescente,29347,DROP,routine_registration,DROP,,,,administrative / procedural,
11621,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,"Art. 13. É facultado ao partido ou coligação substituir candidato que for considerado inelegível, renunciar ou falecer após o termo final do prazo do registro o",DIREITO ELEITORAL > Eleições > Candidatos > Registro de Candidatura > Registro de Candidatura - Substituição de Candidato > Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,21116,KEEP,registro_contestado,DROP,,,,"substituicao is procedural fallout of a removal, not the suit",Y
11714,Apuração/Totalização de Votos,Art. 158. A apuração compete: I - às Juntas Eleitorais quanto às eleições realizadas na zona sob sua jurisdição; II - aos Tribunais Regionais a referente às ele,DIREITO ELEITORAL > Eleições > Resultados > Apuração/Totalização de Votos,18914,DROP,procedural,DROP,,,,administrative / procedural,
