dataset_name,csv_path,file_size_mb,column_count,columns,sample_row_1,sample_row_2,inventoried_at
processo_eleitoral_2018,data/raw/processo_eleitoral_2018/processo_eleitoral_2018.csv,19.652,30,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | DT_AUTUACAO | DT_BAIXA | SG_UF_TRIBUNAL_ORIGEM | NR_INSTANCIA_ORIGEM | SG_UF_TRIBUNAL | NR_INSTANCIA | DT_DISTRIBUICAO | CD_TIPO_DISTRIBUICAO | DS_TIPO_DISTRIBUICAO | CD_RELATOR | NM_RELATOR | CD_TIPO_CARGO_RELATOR | DS_TIPO_CARGO_RELATOR | CD_CLASSE | SG_CLASSE | DS_CLASSE | CD_ASSUNTO_PRINCIPAL | DS_ASSUNTO_PRINCIPAL | ST_CONCLUSO | ST_EM_PAUTA | ST_SOBRESTADO | ST_PEDIDO_VISTA | ST_CARGA_VISTA_MPE | ST_RECURSAL | ST_REMESSA_SUPERIOR | QT_DECISOES,14/05/2026;05:22:42;2018;0600028-76.2023.6.19.0000;27/06/2023;12/12/2024;RJ;19;DF;3;27/06/2023;-1;#NULO#;7;JUR1 - ocupado pelo Ministro Ramos Tavares;7;Ministro;1344;RHC;RECURSO EM HABEAS CORPUS;11473;Falsidade Ideol�gica;0;0;0;0;0;1;0;2,14/05/2026;05:22:42;2018;0600122-91.2019.6.00.0000;27/03/2019;26/08/2019;AP;-1;DF;3;27/03/2019;-1;#NULO#;36;CGE - ocupado pela Ministra Corregedora Isabel Gallotti;42;Ministro;1301;RD;RECLAMA��O DISCIPLINAR;11952;Apura��o de Infra��o Disciplinar;0;0;0;0;0;1;0;0,2026-05-14 19:46:42
assuntos_2018,data/raw/processos_eleitorais_assuntos_2018/processos_eleitorais_assuntos_2018.csv,7.762,7,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | SG_UF_TRIBUNAL_ORIGEM | CD_ASSUNTO | DS_ASSUNTO,14/05/2026;05:22:42;2018;0600028-76.2023.6.19.0000;RJ;11473;Falsidade Ideol�gica,14/05/2026;05:22:42;2018;0600122-91.2019.6.00.0000;AP;11952;Apura��o de Infra��o Disciplinar,2026-05-14 19:46:42
decisoes_2018,data/raw/decisoes_2018/processos_eleitorais_decisoes_2018.csv,25.805,9,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | SG_UF_TRIBUNAL_ORIGEM | SQ_DECISAO | DT_DECISAO | NM_AUTOR_DECISAO | DS_TIPO_DECISAO,14/05/2026;05:26:12;2018;0600910-42.2018.6.00.0000;DF;304200;21/08/2018;JORGE MUSSI;DESPACHO,14/05/2026;05:26:12;2018;0603814-07.2018.6.19.0000;DF;389200;24/09/2018;ADMAR GONZAGA NETO;DESPACHO,2026-05-14 19:46:42
recursos_2018,data/raw/recursos_2018/recursos_eleitorais_2018.csv,0.000,30,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | DS_IDENTIFICACAO_RECURSO | NR_RECURSO | DT_AUTUACAO | DT_BAIXA | NR_PROCESSO_ORIGEM | SG_UF_TRIBUNAL_ORIGEM | NR_INSTANCIA_ORIGEM | SG_UF_TRIBUNAL | NR_INSTANCIA | DT_DISTRIBUICAO | CD_TIPO_DISTRIBUICAO | DS_TIPO_DISTRIBUICAO | CD_RELATOR | NM_RELATOR | CD_TIPO_CARGO_RELATOR | DS_TIPO_CARGO_RELATOR | CD_CLASSE | SG_CLASSE | DS_CLASSE | CD_ASSUNTO_PRINCIPAL | DS_ASSUNTO_PRINCIPAL | DS_TIPO_RECURSO | DS_NATUREZA_RECURSO | ST_CONCLUSO | QT_DECISOES | DT_ULTIMA_DECISAO | DS_ULTIMA_DECISAO,,,2026-05-14 19:46:42
processo_eleitoral_2020,data/raw/processo_eleitoral_2020/processo_eleitoral_2020.csv,365.052,30,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | DT_AUTUACAO | DT_BAIXA | SG_UF_TRIBUNAL_ORIGEM | NR_INSTANCIA_ORIGEM | SG_UF_TRIBUNAL | NR_INSTANCIA | DT_DISTRIBUICAO | CD_TIPO_DISTRIBUICAO | DS_TIPO_DISTRIBUICAO | CD_RELATOR | NM_RELATOR | CD_TIPO_CARGO_RELATOR | DS_TIPO_CARGO_RELATOR | CD_CLASSE | SG_CLASSE | DS_CLASSE | CD_ASSUNTO_PRINCIPAL | DS_ASSUNTO_PRINCIPAL | ST_CONCLUSO | ST_EM_PAUTA | ST_SOBRESTADO | ST_PEDIDO_VISTA | ST_CARGA_VISTA_MPE | ST_RECURSAL | ST_REMESSA_SUPERIOR | QT_DECISOES,11/05/2026;06:07:46;2020;0600334-72.2020.6.09.0018;26/09/2020;21/10/2020;GO;9;GO;1;26/09/2020;-1;NI;514;018� ZONA ELEITORAL DE JATA� GO;345;Juiz Eleitoral;11532;RCand;REGISTRO DE CANDIDATURA;11618;Registro de Candidatura - RRC - Candidato;0;0;0;0;0;0;0;1,11/05/2026;06:07:46;2020;0600443-18.2020.6.11.0055;27/10/2020;22/06/2022;MT;11;MT;1;27/10/2020;-1;NI;1099;055� ZONA ELEITORAL DE CUIAB� MT;903;Juiz Eleitoral Substituto;156;CumSen;CUMPRIMENTO DE SENTEN�A;12366;Execu��o - Cumprimento de Senten�a;0;0;0;0;0;0;0;6,2026-05-14 19:46:42
assuntos_2020,data/raw/processos_eleitorais_assuntos_2020/processos_eleitorais_assuntos_2020.csv,263.590,7,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | SG_UF_TRIBUNAL_ORIGEM | CD_ASSUNTO | DS_ASSUNTO,14/05/2026;06:15:47;2020;0600531-77.2020.6.20.0064;RN;12046;Presta��o de Contas - De Candidato,14/05/2026;06:15:47;2020;0600531-77.2020.6.20.0064;RN;11697;Contas - Desaprova��o/Rejei��o das Contas,2026-05-14 19:46:42
decisoes_2020,data/raw/decisoes_2020/processos_eleitorais_decisoes_2020.csv,295.560,9,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | NR_PROCESSO | SG_UF_TRIBUNAL_ORIGEM | SQ_DECISAO | DT_DECISAO | NM_AUTOR_DECISAO | DS_TIPO_DECISAO,11/05/2026;06:13:56;2020;0600409-26.2020.6.26.0055;SP;84440819;12/04/2021;VINICIUS GONCALVES PORTO NASCIMENTO;Senten�a,11/05/2026;06:13:56;2020;0600409-26.2020.6.26.0055;SP;83702386;31/03/2021;NI;Despacho,2026-05-14 19:46:42
recursos_2020,data/raw/recursos_2020/recursos_eleitorais_2020.csv,2.336,30,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | DS_IDENTIFICACAO_RECURSO | SQ_RECURSO | DT_AUTUACAO | DT_BAIXA | NR_PROCESSO_ORIGEM | SG_UF_TRIBUNAL_ORIGEM | NR_INSTANCIA_ORIGEM | SG_UF_TRIBUNAL | NR_INSTANCIA | DT_DISTRIBUICAO | CD_TIPO_DISTRIBUICAO | DS_TIPO_DISTRIBUICAO | CD_RELATOR | NM_RELATOR | CD_TIPO_CARGO_RELATOR | DS_TIPO_CARGO_RELATOR | CD_CLASSE | SG_CLASSE | DS_CLASSE | CD_ASSUNTO_PRINCIPAL | DS_ASSUNTO_PRINCIPAL | DS_TIPO_RECURSO | DS_NATUREZA_RECURSO | ST_CONCLUSO | QT_DECISOES | DT_ULTIMA_DECISAO | DS_ULTIMA_DECISAO,11/05/2026;06:13:42;2020;Processo;116422;27/06/2024;17/12/2024;0600560-64.2020.6.13.0245;MG;13;DF;3;27/06/2024;-1;NI;7;JUR1 - ocupado pelo Ministro Ramos Tavares;7;Ministro;12626;AREspE;AGRAVO EM RECURSO ESPECIAL ELEITORAL;12046;Presta��o de Contas - De Candidato;EMBARGOS DE DECLARA��O;RECURSO INTERNO;0;4;10-DEC-24;Ac�rd�o,11/05/2026;06:13:42;2020;Processo;11269;04/02/2022;15/04/2025;0600286-06.2020.6.04.0034;AM;4;AM;2;10/02/2022;-1;NI;4;Gabinete da Ju�za Federal - Ju�za do Tribunal Regional Eleitoral MARA ELISA ANDRADE;14;Magistrado;11548;REl;RECURSO ELEITORAL;60007;A��o de Investiga��o Judicial Eleitoral;EMBARGOS DE DECLARA��O;RECURSO INTERNO;0;6;06-SEP-24;Decis�o,2026-05-14 19:46:42
partes_2020,data/raw/processos_eleitorais_partes_2020/processos_eleitorais_partes_2020.csv,15.800,14,DT_GERACAO | HH_GERACAO | ANO_ELEICAO | SG_UF_ORGAO | SG_TRIBUNAL_ORIGEM | NR_INSTANCIA | NR_PROCESSO | DS_POLO | TP_PARTE | ST_PARTE_PRINCIPAL | NM_PARTE | NM_SOCIAL_PARTE | ST_CANDIDATO | SQ_CANDIDATO,11/05/2026;05:16:17;2020;PE;TRE-PE;2;0000021-65.2019.6.17.0086;Polo Passivo;RECORRIDA;S;MARIA IRIS BARROS GALVAO;;N;,11/05/2026;05:14:36;2020;CE;TRE-CE;2;0000043-70.2017.6.06.0096;Polo Passivo;EXECUTADO;S;FRANCISCO LUCAS COSTA;;N;,2026-05-14 19:46:42
consulta_cand_2020_brasil,data/raw/consulta_cand_2020/consulta_cand_2020_BRASIL.csv,278.475,50,"""DT_GERACAO"" | ""HH_GERACAO"" | ""ANO_ELEICAO"" | ""CD_TIPO_ELEICAO"" | ""NM_TIPO_ELEICAO"" | ""NR_TURNO"" | ""CD_ELEICAO"" | ""DS_ELEICAO"" | ""DT_ELEICAO"" | ""TP_ABRANGENCIA"" | ""SG_UF"" | ""SG_UE"" | ""NM_UE"" | ""CD_CARGO"" | ""DS_CARGO"" | ""SQ_CANDIDATO"" | ""NR_CANDIDATO"" | ""NM_CANDIDATO"" | ""NM_URNA_CANDIDATO"" | ""NM_SOCIAL_CANDIDATO"" | ""NR_CPF_CANDIDATO"" | ""DS_EMAIL"" | ""CD_SITUACAO_CANDIDATURA"" | ""DS_SITUACAO_CANDIDATURA"" | ""TP_AGREMIACAO"" | ""NR_PARTIDO"" | ""SG_PARTIDO"" | ""NM_PARTIDO"" | ""NR_FEDERACAO"" | ""NM_FEDERACAO"" | ""SG_FEDERACAO"" | ""DS_COMPOSICAO_FEDERACAO"" | ""SQ_COLIGACAO"" | ""NM_COLIGACAO"" | ""DS_COMPOSICAO_COLIGACAO"" | ""SG_UF_NASCIMENTO"" | ""DT_NASCIMENTO"" | ""NR_TITULO_ELEITORAL_CANDIDATO"" | ""CD_GENERO"" | ""DS_GENERO"" | ""CD_GRAU_INSTRUCAO"" | ""DS_GRAU_INSTRUCAO"" | ""CD_ESTADO_CIVIL"" | ""DS_ESTADO_CIVIL"" | ""CD_COR_RACA"" | ""DS_COR_RACA"" | ""CD_OCUPACAO"" | ""DS_OCUPACAO"" | ""CD_SIT_TOT_TURNO"" | ""DS_SIT_TOT_TURNO""","""06/01/2026"";""16:44:45"";2020;1;""ELEI��O SUPLEMENTAR"";1;632;""Vereador"";""09/06/2024"";""MUNICIPAL"";""AL"";""28495"";""PORTO REAL DO COL�GIO"";13;""VEREADOR"";20001878117;11444;""ALEXANDRA BONFIM RIBEIRO DA SILVA"";""ALEXANDRA DA SA�DE"";""#NULO"";""03550325460"";""N�O DIVULG�VEL"";12;""APTO"";""PARTIDO ISOLADO"";11;""PP"";""PROGRESSISTAS"";-1;""#NULO"";""#NULO"";""#NULO"";20001687180;""PARTIDO ISOLADO"";""PP"";""PE"";""29/11/1979"";""024385921716"";4;""FEMININO"";6;""ENSINO M�DIO COMPLETO"";3;""CASADO(A)"";""03"";""PARDA"";999;""OUTROS"";5;""SUPLENTE""","""06/01/2026"";""16:44:45"";2020;1;""ELEI��O SUPLEMENTAR"";1;627;""Suplementar de Turvel�ndia - GO"";""28/04/2024"";""MUNICIPAL"";""GO"";""92800"";""TURVEL�NDIA"";11;""PREFEITO"";90001874996;22;""OSELIA LUCIA DE CARVALHO ALVES"";""OS�LIA DO AILTON"";""#NULO"";""62114751104"";""N�O DIVULG�VEL"";12;""APTO"";""PARTIDO ISOLADO"";22;""PL"";""PARTIDO LIBERAL"";-1;""#NULO"";""#NULO"";""#NULO"";90001686979;""PARTIDO ISOLADO"";""PL"";""MT"";""07/04/1973"";""029875071023"";4;""FEMININO"";8;""SUPERIOR COMPLETO"";3;""CASADO(A)"";""03"";""PARDA"";298;""SERVIDOR P�BLICO MUNICIPAL"";1;""ELEITO""",2026-05-14 19:46:42
