office,election_year,bucket,count,share,label
Prefeito,2012,1,31998,1.0,1st (new)
Prefeito,2016,1,23618,0.7064911755907867,1st (new)
Prefeito,2016,2,9812,0.2935088244092133,2nd
Prefeito,2020,1,26138,0.67203167583689,1st (new)
Prefeito,2020,2,9124,0.23458631151334397,2nd
Prefeito,2020,3,3632,0.09338201264976603,3rd
Prefeito,2024,1,18183,0.5810750351527547,1st (new)
Prefeito,2024,2,7892,0.2522050364310367,2nd
Prefeito,2024,3,4025,0.12862712514380673,3rd
Prefeito,2024,4,1192,0.038092803272401894,4th+ (career)
Vereador,2012,1,449592,1.0,1st (new)
Vereador,2016,1,317046,0.6847838060247912,1st (new)
Vereador,2016,2,145941,0.3152161939752088,2nd
Vereador,2020,1,341484,0.6593449877778936,1st (new)
Vereador,2020,2,106115,0.20488922871364745,2nd
Vereador,2020,3,70315,0.13576578350845894,3rd
Vereador,2024,1,239940,0.5557176804102222,1st (new)
Vereador,2024,2,101746,0.23565079232732544,2nd
Vereador,2024,3,50203,0.11627362969756766,3rd
Vereador,2024,4,39877,0.09235789756488469,4th+ (career)
