topic_code,topic_name,alpha,f_stat_k,tau_delta_winner_majority_2024_2020,tau_delta_others_vote_share_2024_2020,tau_delta_margin_top1_top2_2024_2020,tau_delta_winner_vote_share_2024_2020,alpha_pct,cum_alpha
fraude,fraude,0.6431593335855111,75.18924720026287,-0.046856772353039186,0.012459703350505736,-0.041340540856719184,-0.02466198088695845,64.31593335855112,0.6431593335855111
pesquisa_adv,pesquisa_adv,0.5054430892878977,74.41921187463797,-0.11893121382005259,0.04772928698478254,-0.09976069521424479,-0.07379849840764452,50.544308928789775,1.1486024228734089
abuso,abuso,0.38146121626425505,121.89294394836902,0.10066680669099294,-0.04074552793558994,0.0010115222322335986,0.02065312888078627,38.146121626425504,1.5300636391376639
ballot_integrity,ballot_integrity,0.09418404846070333,19.536854171899662,-0.11658382808728616,0.04909816501792379,-0.13091492838453828,-0.09165097419898491,9.418404846070333,1.6242476875983671
conduta_vedada,conduta_vedada,0.07175543894228247,23.84219018337005,0.02861883635178554,-0.01643832108551716,-0.017385624764734355,-0.0009544396234051311,7.175543894228246,1.6960031265406497
inelegib,inelegib,0.008714898454716628,2.2126592034729553,-0.0850663435359288,-0.01484981103438745,0.13944060659209534,0.07183586165506256,0.8714898454716627,1.7047180249953664
finance,finance,-0.009101445143108565,0.4775775721922909,0.02527146907351476,-0.18838221123403232,-0.477699459465055,-0.15803038520548332,-0.9101445143108564,1.6956165798522578
direito_resposta,direito_resposta,-0.07556725805120236,3.2030506364169513,0.09185027440745087,-0.1014365937638736,-0.1491879068528286,-0.04890512359094122,-7.556725805120236,1.6200493218010554
honra,honra,-0.1707052925740965,37.89318910071509,-0.0708407596165702,0.005647339995375621,-0.03122176468585233,-0.015523379477281463,-17.07052925740965,1.449344029226959
vote_buying,vote_buying,-0.4493440292269563,86.98880360791743,-0.01754059490132216,-0.0006075404830895077,-0.008579628206710628,-0.003898332178233078,-44.93440292269563,1.0000000000000027
