SG_UF,SG_UE,NM_UE,bartik_iv_no_rrc,dominant_topic_share_no_rrc,share_hhi_no_rrc,avg_shock_equal_weight,avg_abs_shock_equal_weight,n_topics_no_rrc,baseline_lawsuits_no_rrc_2020
AC,01007,BUJARI,-0.3170932600931266,0.5806451612903226,0.3631633714880333,-0.8783643384759707,0.9586026741239028,11.0,31.0
AC,01015,CAPIXABA,-0.1538270779676845,0.6578947368421053,0.4653739612188366,-0.2794075605467007,0.3880850634918317,7.0,38.0
AC,01023,PORTO ACRE,-0.1057992777558074,0.8,0.6568047337278108,0.04593636431124462,0.22810390137694528,6.0,65.0
AC,01031,SANTA ROSA DO PURUS,-0.1564127997499203,0.717391304347826,0.5633270321361058,-0.10109383668298018,0.27761817510843045,5.0,46.0
AC,01040,MARECHAL THAUMATURGO,-0.1253602547621485,0.6306306306306306,0.4180667153640127,-0.2266230645853453,0.30780427343675404,12.0,111.0
AC,01058,BRASILÉIA,-0.202885740438466,0.5694444444444444,0.3649691358024691,-0.25293883437638504,0.33643603775003206,10.0,72.0
AC,01066,PORTO WALTER,-0.1253602547621485,0.6306306306306306,0.4180667153640127,-0.2266230645853453,0.30780427343675404,12.0,111.0
AC,01074,CRUZEIRO DO SUL,-0.1253602547621485,0.6306306306306306,0.4180667153640127,-0.2266230645853453,0.30780427343675404,12.0,111.0
AC,01082,RODRIGUES ALVES,-0.1253602547621485,0.6306306306306306,0.4180667153640127,-0.2266230645853453,0.30780427343675404,12.0,111.0
AC,01090,MÂNCIO LIMA,-0.1253602547621485,0.6306306306306306,0.4180667153640127,-0.2266230645853453,0.30780427343675404,12.0,111.0
AC,01104,JORDÃO,-0.0933015045891837,0.7,0.5175,-0.15269456923255018,0.3150569869353676,6.0,40.0
AC,01112,EPITACIOLÂNDIA,-0.202885740438466,0.5694444444444444,0.3649691358024691,-0.25293883437638504,0.33643603775003206,10.0,72.0
AC,01120,ACRELÂNDIA,-0.1411225982751455,0.7636363636363637,0.6132231404958678,-0.26553989765724983,0.3188978940574967,4.0,55.0
AC,01139,FEIJÓ,-0.2879257458048578,0.4838709677419355,0.4193548387096775,-0.19755227001798778,0.2686962652183169,3.0,31.0
AC,01392,RIO BRANCO,-0.1740296262189,0.7291666666666666,0.5442708333333333,-0.6357733222804841,0.807557901905131,14.0,96.0
AC,01457,SENA MADUREIRA,-0.1564127997499203,0.717391304347826,0.5633270321361058,-0.10109383668298018,0.27761817510843045,5.0,46.0
AC,01473,TARAUACÁ,-0.0933015045891837,0.7,0.5175,-0.15269456923255018,0.3150569869353676,6.0,40.0
AC,01490,XAPURI,-0.1538270779676845,0.6578947368421053,0.4653739612188366,-0.2794075605467007,0.3880850634918317,7.0,38.0
AC,01511,PLÁCIDO DE CASTRO,-0.1411225982751455,0.7636363636363637,0.6132231404958678,-0.26553989765724983,0.3188978940574967,4.0,55.0
AC,01538,SENADOR GUIOMARD,-0.1411225982751455,0.7636363636363637,0.6132231404958678,-0.26553989765724983,0.3188978940574967,4.0,55.0
AC,01554,MANOEL URBANO,-0.1564127997499203,0.717391304347826,0.5633270321361058,-0.10109383668298018,0.27761817510843045,5.0,46.0
AC,01570,ASSIS BRASIL,-0.202885740438466,0.5694444444444444,0.3649691358024691,-0.25293883437638504,0.33643603775003206,10.0,72.0
AL,27006,PARIPUEIRA,-0.1280325525939606,0.6060606060606061,0.3921028466483012,-0.14299113199963773,0.30268741146464756,10.0,33.0
AL,27014,ÁGUA BRANCA,-0.093603831261793,0.48148148148148145,0.27160493827160487,-0.09316929902984501,0.28047867557219075,13.0,54.0
AL,27022,PARICONHA,-0.093603831261793,0.48148148148148145,0.27160493827160487,-0.09316929902984501,0.28047867557219075,13.0,54.0
AL,27030,ANADIA,-0.2153420338237574,0.4461538461538462,0.2288757396449704,-0.2498483217034425,0.30656586592724533,15.0,65.0
AL,27049,ESTRELA DE ALAGOAS,-0.1506632502777485,0.525,0.3075,-0.20478408983320542,0.289286797642717,11.0,40.0
AL,27057,ARAPIRACA,-0.2542726246253978,0.37333333333333335,0.2604444444444445,-0.1494102790022144,0.2787060939794244,15.0,75.0
AL,27065,JEQUIÁ DA PRAIA,-0.1451835028072529,0.3275862068965517,0.14952437574316288,-0.06097752845722759,0.2808413994200845,18.0,116.0
AL,27073,ATALAIA,-0.0788776689056941,0.47058823529411764,0.2958477508650519,-0.06119569822930446,0.32191817831422626,9.0,34.0
AL,27081,CAMPESTRE,-0.0975563705522137,0.5434782608695652,0.33459357277882795,-0.1113246110623427,0.2434113870241354,13.0,46.0
AL,27090,BARRA DE SANTO ANTÔNIO,-0.1280325525939606,0.6060606060606061,0.3921028466483012,-0.14299113199963773,0.30268741146464756,10.0,33.0
AL,27111,BARRA DE SÃO MIGUEL,-0.1118455962215835,0.40384615384615385,0.19600591715976332,-0.12433633704388028,0.23952308679726114,15.0,52.0
AL,27138,BATALHA,-0.1078677789094935,0.6444444444444445,0.4340740740740741,-0.030591426054156556,0.28373340294963995,10.0,45.0
AL,27154,BELÉM,-0.0429228528499199,0.49122807017543857,0.2674669128962757,-0.08750482982439863,0.2981651366800835,13.0,57.0
AL,27170,BELO MONTE,-0.1078677789094935,0.6444444444444445,0.4340740740740741,-0.030591426054156556,0.28373340294963995,10.0,45.0
AL,27197,BOCA DA MATA,-0.2153420338237574,0.4461538461538462,0.2288757396449704,-0.2498483217034425,0.30656586592724533,15.0,65.0
AL,27219,BRANQUINHA,-0.1032005990877691,0.5526315789473685,0.3310249307479225,-0.1335116715238427,0.2117006119874779,12.0,38.0
AL,27235,CACIMBINHAS,-0.1506632502777485,0.525,0.3075,-0.20478408983320542,0.289286797642717,11.0,40.0
AL,27251,CAJUEIRO,-0.1453988363471044,0.3493975903614458,0.16649731455944258,-0.1313514761773202,0.2935415683346104,16.0,83.0
AL,27278,CAMPO ALEGRE,-0.0670332555307843,0.47058823529411764,0.2664359861591696,-0.12735338819165226,0.26279796531498384,11.0,34.0
AL,27294,CAMPO GRANDE,-0.1676404441339337,0.48484848484848486,0.2745638200183655,-0.1691409655129562,0.3006460581413756,11.0,33.0
AL,27316,CANAPI,-0.2098559472184535,0.65,0.45000000000000007,-0.4095131102432159,0.4095131102432159,6.0,20.0
AL,27332,CAPELA,-0.0788776689056941,0.47058823529411764,0.2958477508650519,-0.06119569822930446,0.32191817831422626,9.0,34.0
AL,27359,CARNEIROS,-0.0860095857431685,0.5714285714285714,0.35360266555601827,-0.1267251421242169,0.3957219887371791,10.0,49.0
AL,27375,CHÃ PRETA,-0.0429228528499199,0.49122807017543857,0.2674669128962757,-0.08750482982439863,0.2981651366800835,13.0,57.0
AL,27391,COITÉ DO NÓIA,-0.1140774530798719,0.30864197530864196,0.1565310166133211,-0.16773380224593223,0.2652147754924282,17.0,81.0
AL,27413,COLÔNIA LEOPOLDINA,-0.2755891457546941,0.43548387096774194,0.222684703433923,-0.4823005376752942,0.5486955223827675,14.0,62.0
AL,27430,COQUEIRO SECO,-0.0979589893802606,0.75,0.5743801652892562,-0.12281259936217445,0.17173751793475325,7.0,44.0
AL,27456,CORURIPE,-0.0867939622133017,0.6774193548387096,0.47970863683662845,-0.1247759777430638,0.25756594715801057,7.0,31.0
AL,27472,DELMIRO GOUVEIA,-0.1174354649082587,0.5245901639344263,0.30233808116097827,-0.13040377829060207,0.26005626820877875,13.0,61.0
AL,27499,DOIS RIACHOS,-0.1506632502777485,0.525,0.3075,-0.20478408983320542,0.289286797642717,11.0,40.0
AL,27510,FEIRA GRANDE,-0.0970143273604607,0.53125,0.322265625,-0.11501890440297112,0.3609692669522292,8.0,32.0
AL,27537,FELIZ DESERTO,-0.0867939622133017,0.6774193548387096,0.47970863683662845,-0.1247759777430638,0.25756594715801057,7.0,31.0
AL,27553,FLEXEIRAS,-0.0975563705522137,0.5434782608695652,0.33459357277882795,-0.1113246110623427,0.2434113870241354,13.0,46.0
AL,27570,GIRAU DO PONCIANO,-0.1282291547458856,0.6097560975609756,0.38845925044616303,-0.18605113294920328,0.21324568754593212,11.0,41.0
AL,27596,IBATEGUARA,-0.2755891457546941,0.43548387096774194,0.222684703433923,-0.4823005376752942,0.5486955223827675,14.0,62.0
AL,27618,IGACI,-0.1140774530798719,0.30864197530864196,0.1565310166133211,-0.16773380224593223,0.2652147754924282,17.0,81.0
AL,27634,IGREJA NOVA,-0.1771711686604451,0.45901639344262296,0.24052674012362268,-0.42100215350727926,0.5343695451495769,15.0,61.0
AL,27650,INHAPI,-0.093603831261793,0.48148148148148145,0.27160493827160487,-0.09316929902984501,0.28047867557219075,13.0,54.0
AL,27677,JACARÉ DOS HOMENS,-0.1078677789094935,0.6444444444444445,0.4340740740740741,-0.030591426054156556,0.28373340294963995,10.0,45.0
AL,27693,JACUÍPE,-0.0832020495533544,0.5,0.285625,-0.16740129158386138,0.2786748315002162,13.0,80.0
AL,27715,JAPARATINGA,-0.0832020495533544,0.5,0.285625,-0.16740129158386138,0.2786748315002162,13.0,80.0
AL,27731,JARAMATAIA,-0.1282291547458856,0.6097560975609756,0.38845925044616303,-0.18605113294920328,0.21324568754593212,11.0,41.0
AL,27758,JOAQUIM GOMES,-0.0975563705522137,0.5434782608695652,0.33459357277882795,-0.1113246110623427,0.2434113870241354,13.0,46.0
AL,27774,JUNDIÁ,-0.0832020495533544,0.5,0.285625,-0.16740129158386138,0.2786748315002162,13.0,80.0
AL,27790,JUNQUEIRO,-0.0383332553300126,0.28,0.15280000000000002,-0.012009572121266965,0.2955073107441224,11.0,50.0
AL,27812,LAGOA DA CANOA,-0.1282291547458856,0.6097560975609756,0.38845925044616303,-0.18605113294920328,0.21324568754593212,11.0,41.0
AL,27839,LIMOEIRO DE ANADIA,-0.0670332555307843,0.47058823529411764,0.2664359861591696,-0.12735338819165226,0.26279796531498384,11.0,34.0
AL,27855,MACEIÓ,-0.0848540454682778,0.24050632911392406,0.11424451209742029,-0.03985981112577954,0.31335930409209883,19.0,158.0
AL,27871,MAJOR ISIDORO,-0.0766363444347461,0.4444444444444444,0.262002743484225,-0.14649380041822901,0.35717909653526614,8.0,27.0
AL,27898,MARAGOGI,-0.0832020495533544,0.5,0.285625,-0.16740129158386138,0.2786748315002162,13.0,80.0
AL,27910,MARAVILHA,-0.1698904621309564,0.4782608695652174,0.26937618147448017,-0.12632493003147105,0.24978278863387235,11.0,46.0
AL,27936,MARECHAL DEODORO,-0.1118455962215835,0.40384615384615385,0.19600591715976332,-0.12433633704388028,0.23952308679726114,15.0,52.0
AL,27952,MARIBONDO,-0.2153420338237574,0.4461538461538462,0.2288757396449704,-0.2498483217034425,0.30656586592724533,15.0,65.0
AL,27979,MAR VERMELHO,-0.1453988363471044,0.3493975903614458,0.16649731455944258,-0.1313514761773202,0.2935415683346104,16.0,83.0
AL,27995,MATA GRANDE,-0.2098559472184535,0.65,0.45000000000000007,-0.4095131102432159,0.4095131102432159,6.0,20.0
AL,28010,MATRIZ DE CAMARAGIBE,-0.1060442745165025,0.6271186440677966,0.43004883654122383,-0.05619166252348473,0.3935299082470619,8.0,59.0
AL,28037,MESSIAS,-0.1032005990877691,0.5526315789473685,0.3310249307479225,-0.1335116715238427,0.2117006119874779,12.0,38.0
AL,28053,MINADOR DO NEGRÃO,-0.1506632502777485,0.525,0.3075,-0.20478408983320542,0.289286797642717,11.0,40.0
AL,28070,MONTEIRÓPOLIS,-0.1078677789094935,0.6444444444444445,0.4340740740740741,-0.030591426054156556,0.28373340294963995,10.0,45.0
AL,28096,MURICI,-0.1032005990877691,0.5526315789473685,0.3310249307479225,-0.1335116715238427,0.2117006119874779,12.0,38.0
AL,28118,NOVO LINO,-0.0975563705522137,0.5434782608695652,0.33459357277882795,-0.1113246110623427,0.2434113870241354,13.0,46.0
AL,28134,OLHO D'ÁGUA DAS FLORES,-0.1968189057105373,0.4153846153846154,0.22508875739644973,-0.16086820704421045,0.3392926479262909,16.0,65.0
AL,28150,OLHO D'ÁGUA DO CASADO,-0.1174354649082587,0.5245901639344263,0.30233808116097827,-0.13040377829060207,0.26005626820877875,13.0,61.0
AL,28177,OLHO D'ÁGUA GRANDE,-0.1771711686604451,0.45901639344262296,0.24052674012362268,-0.42100215350727926,0.5343695451495769,15.0,61.0
AL,28193,OLIVENÇA,-0.0860095857431685,0.5714285714285714,0.35360266555601827,-0.1267251421242169,0.3957219887371791,10.0,49.0
AL,28215,OURO BRANCO,-0.1698904621309564,0.4782608695652174,0.26937618147448017,-0.12632493003147105,0.24978278863387235,11.0,46.0
AL,28231,PALESTINA,-0.1968189057105373,0.4153846153846154,0.22508875739644973,-0.16086820704421045,0.3392926479262909,16.0,65.0
AL,28258,PALMEIRA DOS ÍNDIOS,-0.1930727484357483,0.4482758620689655,0.24613555291319858,-0.20442382438677803,0.3302066503330969,10.0,29.0
AL,28274,PÃO DE AÇÚCAR,-0.1968189057105373,0.4153846153846154,0.22508875739644973,-0.16086820704421045,0.3392926479262909,16.0,65.0
