SG_UF,n_topics,weighted_mean_shift,simple_mean_shift,min_shift,max_shift
SC,21,-0.4051951979361158,-1.550495768473642,-8.508959386489133,0.4970103137050268
AP,21,-0.22029794986804288,-0.48744987297180176,-7.951207156472972,0.5960902754206785
RJ,28,-0.20123196323657777,-0.5713241932602557,-7.262628600974241,1.0986122886681091
AM,27,-0.17269642649922057,-0.4400037004729069,-7.317212408359839,0.5899155606161717
AC,22,-0.1707508762849518,-0.4760573996848164,-7.332369205929062,0.595609390583328
MG,30,-0.16370351853098292,-0.08021204085615512,-1.791759469228055,1.0086640520051704
BA,28,-0.1448198430290019,-0.062170059360652966,-0.956773685875822,0.7928465407830325
SP,29,-0.14338420587694023,-0.36141840118046875,-4.219507705176107,0.7860621496383153
CE,29,-0.142791113099244,-0.024706025702449688,-0.944144551133692,1.082863931699971
TO,26,-0.1421885751270996,-0.12437695454408602,-0.911316722071292,0.550854511067052
ES,27,-0.14173327396817315,-0.09367573557021215,-0.9185577924687988,0.7808127937521716
GO,27,-0.14128755418205236,-0.10333658422238151,-0.9033373053520064,0.6640830476160344
PA,28,-0.13990894146218583,-0.2194685505304858,-3.610917912644224,0.7889382452016207
PE,28,-0.13963021845817744,-0.03157274736657345,-0.9090443233533874,1.2378743560016172
AL,27,-0.13959841629601233,-0.23142776895800676,-4.110873864173311,0.8802193401124976
MA,28,-0.13928997701758497,-0.04780704606307988,-0.912950237238336,1.138221426763156
MS,26,-0.13885027737564298,-0.12174374928661783,-0.8982044657471491,0.5574737849744302
RR,23,-0.13834755605752944,-0.11266387357703044,-0.9016841308934715,0.610150260988978
SE,27,-0.13793270490979373,-0.0863240205109556,-0.8824205561927041,0.7947573569707274
PR,25,-0.13708699141227726,-0.11347656021953446,-0.9089225612405922,0.5972681600813017
RO,26,-0.13566201859998098,-0.11572156208548272,-0.9048477319890972,0.5935763871739335
RS,26,-0.13041047850454826,-0.11283134083620847,-0.8991900117569678,0.6073471907566121
PI,29,-0.13025640994777704,-0.004158818849690282,-0.9148766378369562,1.1035750780102394
PB,28,-0.1301525893625616,-0.041421993662547285,-0.7456586731021764,1.0483504538872213
MT,28,-0.12681018236923794,-0.03292896399615614,-0.9079036150266768,1.1089750757036567
RN,27,-0.11411446083044094,-0.033509830397178864,-0.9126576670242752,0.7606491833398907
