CD_ASSUNTO_PRINCIPAL,DS_ASSUNTO_PRINCIPAL,topic_family,municipalities,baseline_lawsuits_2020,mean_share_no_rrc,median_share_no_rrc,mean_shift,min_shift,max_shift,national_share_no_rrc_2020
12044,Registro de Candidatura - DRAP Partido/Coligação,eligibility_ballot_access,3981,120575,0.5540593380338934,0.56,-0.08404192588157611,-0.1077248635490981,-0.072012516091231,0.5019921479809986
11617,Registro de Candidatura - Preenchimento de Vaga Remanescente,eligibility_ballot_access,2878,12566,0.07084519151756508,0.05172413793103448,-0.49727334412662005,-0.5857630679654395,-0.4507474998227074,0.05231626233903569
11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,2602,11666,0.06883836453231777,0.046153846153846156,-0.08541015822195346,-0.160419169951254,0.0380822667791331,0.04856927554091918
11616,Impugnação ao Registro de Candidatura,eligibility_ballot_access,1488,10990,0.0985988969790621,0.0625,-0.5434953642261566,-0.6618193174180931,-0.2672536694421179,0.04575487212366722
11679,Propaganda Política - Propaganda Eleitoral - Internet,information_environment,2196,8685,0.05414762237615256,0.03333333333333333,-0.41120069678078697,-0.4661401344206908,-0.0873746830790036,0.036158422601824364
12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,2476,7986,0.04979067421015494,0.037037037037037035,0.3733571249751406,0.3531160029545468,0.3960457654793803,0.03324826285528721
12637,Propaganda Política - Propaganda Eleitoral - Redes Sociais,information_environment,2159,7214,0.04888413545469541,0.03125,-0.07719413237182864,-0.1191592878806435,-0.0425540919825184,0.03003418084623615
11621,Registro de Candidatura - Substituição de Candidato - Por Cancelamento de Registro,eligibility_ballot_access,2669,6978,0.04399480713657096,0.034482758620689655,0.10049053094135042,0.0731436749418161,0.1142542337146483,0.02905163764139671
11619,Registro de Candidatura - RRCI - Candidato Individual,eligibility_ballot_access,1623,6350,0.056829332086634286,0.03076923076923077,-0.6180829746501627,-0.6722915113114603,-0.5835409914313416,0.026437073520044298
11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,2067,5502,0.0432412309770974,0.03278688524590164,-0.27633117859605955,-0.2972837633325262,-0.246751682722488,0.022906579292485626
11649,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,campaign_conduct,2075,5447,0.04557679295620951,0.03409090909090909,0.32845678537235695,0.2025841458179016,0.4029469469712037,0.02267759676593406
11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,1893,5366,0.045770130449351264,0.029411764705882353,-0.8910957195722031,-0.956773685875822,-0.7456586731021764,0.022340367954103574
11653,Propaganda Política - Propaganda Eleitoral - Adesivo,campaign_conduct,1531,4054,0.036817448027787,0.024691358024691357,-0.42952043551676544,-0.5151755795798554,-0.3459410080500644,0.016878093866182612
11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1269,3969,0.03843541586083835,0.023809523809523808,-0.09040765799046493,-8.508959386489133,0.0294919634407229,0.01652421177969383
11718,Abuso - De Poder Econômico,abuse_misuse_office,1645,3089,0.03299038152096962,0.02564102564102564,-0.12695092814987993,-0.1809792747132252,-0.0728853884378502,0.012860491354868792
11650,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Sem Prévio Registro,campaign_conduct,1442,2756,0.03205895906598166,0.02484567901234568,-0.04840180453573573,-0.1028601466540353,-0.0037216269229949,0.011474106239565683
