bucket,classe,class_proc,assunto,assunto_share_in_class
adversarial_keep,REPRESENTACAO,91775,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,0.1174
adversarial_keep,REPRESENTACAO,91775,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,0.0939
adversarial_keep,REPRESENTACAO,91775,Propaganda Política - Propaganda Eleitoral - Internet,0.0747
adversarial_keep,REPRESENTACAO,91775,Pesquisa Eleitoral - Divulgação de Pesquisa Eleitoral Fraudulenta,0.0741
adversarial_keep,REPRESENTACAO,91775,Propaganda Política - Propaganda Eleitoral - Redes Sociais,0.07
adversarial_keep,REPRESENTACAO,91775,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,0.0392
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Internet,0.1374
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,0.1363
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Adesivo,0.0746
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,0.0713
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,0.0677
adversarial_keep,NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,23097,Propaganda Política - Propaganda Eleitoral - Redes Sociais,0.0637
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Abuso - De Poder Econômico,0.3358
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Abuso - De Poder Político/Autoridade,0.237
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Candidatura Fictícia,0.1527
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Inelegibilidade - Abuso do Poder Econômico ou Político,0.0988
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Abuso - Uso Indevido de Meio de Comunicação Social,0.051
adversarial_keep,ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,14272,Inelegibilidade - Representação ou Ação de Investigação Judicial Eleitoral Jugada Procedente pela Justiça Eleitoral,0.032
adversarial_keep,DIREITO DE RESPOSTA,8347,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,0.3269
adversarial_keep,DIREITO DE RESPOSTA,8347,Cargo - Prefeito,0.1127
adversarial_keep,DIREITO DE RESPOSTA,8347,Propaganda Política - Propaganda Eleitoral - Internet,0.1118
adversarial_keep,DIREITO DE RESPOSTA,8347,Propaganda Política - Propaganda Eleitoral - Redes Sociais,0.0727
adversarial_keep,DIREITO DE RESPOSTA,8347,Propaganda Política - Propaganda Eleitoral - Televisão,0.0637
adversarial_keep,DIREITO DE RESPOSTA,8347,Propaganda Política - Propaganda Eleitoral - Horário Eleitoral Gratuito/Inserções de Propaganda,0.0628
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Doação de Recursos Acima do Limite Legal - Pessoa Física,0.4455
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Conduta Vedada ao Agente Público,0.2555
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Captação ou Gasto Ilícito de Recursos Financeiros de Campanha Eleitoral,0.0734
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Captação Ilícita de Sufrágio,0.0687
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Doação de Recursos Acima do Limite Legal,0.0431
adversarial_keep,REPRESENTACAO ESPECIAL,6563,Inelegibilidade - Abuso do Poder Econômico ou Político,0.0286
adversarial_keep,ACAO DE IMPUGNACAO DE MANDATO ELETIVO,1117,Candidatura Fictícia,0.3617
