A,nat_share,cv,n_states,dim
REGISTRO DE CANDIDATURA - RRC - CANDIDATO,0.3852260438369509,0.046685799781549575,26,assunto
CARGO - VEREADOR,0.3607950882543006,0.20578810981947887,27,assunto
PARTIDO POLITICO - ORGAO DE DIRECAO MUNICIPAL,0.05035065921143978,0.18684278526811948,26,assunto
REGISTRO DE CANDIDATURA - DRAP PARTIDO/COLIGACAO,0.04555297987731477,0.13395022546374072,26,assunto
CARGO - PREFEITO,0.01547484867621453,0.22883780867818082,27,assunto
AUSENCIA OU ABANDONO AOS TRABALHOS ELEITORAIS,0.014253262178017097,0.9819461370366671,26,assunto
EXECUCAO - CUMPRIMENTO DE SENTENCA,0.00940408648754969,0.43842753127147904,27,assunto
PRESTACAO DE CONTAS - DE CANDIDATO,0.005651047524941854,1.2394374471983274,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - EXTEMPORANEA/ANTECIPADA,0.00492893696420074,0.6930565445454417,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - DIVULGACAO DE NOTICIA  SABIDAMENTE FALSA,0.004495670627756071,0.4667904578310413,27,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - INTERNET,0.004373318382611732,0.9083643371509568,26,assunto
REGISTRO DE CANDIDATURA - PREENCHIMENTO DE VAGA REMANESCENTE,0.004361702663136004,0.37587570310061136,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - REDES SOCIAIS,0.003329839583042134,0.48398515604558406,26,assunto
IMPUGNACAO AO REGISTRO DE CANDIDATURA,0.003227234061006533,1.217473140007196,26,assunto
REGISTRO DE CANDIDATURA - SUBSTITUICAO DE CANDIDATO - POR CANCELAMENTO DE REGISTRO,0.0031300492080596058,0.15180246832734548,26,assunto
APURACAO/TOTALIZACAO DE VOTOS,0.0030696474667858183,0.6256053298047263,26,assunto
PESQUISA ELEITORAL - DIVULGACAO DE PESQUISA ELEITORAL FRAUDULENTA,0.0027312428393929315,0.7040001987550589,25,assunto
REQUERIMENTO,0.0026530303282563607,3.2889131453166573,27,assunto
CONTAS - NAO APRESENTACAO DAS CONTAS,0.0025678483854343526,1.1394903641338674,26,assunto
FILIACAO PARTIDARIA - LISTA ESPECIAL,0.002399807643685482,0.3747130105764057,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - BANNER/CARTAZ/FAIXA,0.0022247974702511745,0.8356779686452201,26,assunto
REGISTRO DE CANDIDATURA - RRCI - CANDIDATO INDIVIDUAL,0.0021678804448201053,0.5312968234745061,26,assunto
ABUSO - DE PODER ECONOMICO,0.0021105762287398455,0.3986516033678788,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - ALTO-FALANTE/AMPLIFICADOR DE SOM,0.0020888935523851525,0.6372877561180799,26,assunto
REQUERIMENTO DE REGULARIZACAO DA SITUACAO DE INADIMPLENCIA DE PRESTACAO DE CONTAS,0.002050174487466058,0.5254780501328615,26,assunto
FILIACAO PARTIDARIA - COEXISTENCIA,0.002021135188776737,0.6105012380016779,26,assunto
FILIACAO PARTIDARIA - CANCELAMENTO,0.0018097290943184805,3.752963931165502,27,assunto
ELEICOES - 1° TURNO,0.0015646374133806119,0.7214042589797957,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - ADESIVO,0.001563475841433039,0.7369727416597704,26,assunto
PRESTACAO DE CONTAS - DE PARTIDO POLITICO,0.001470550085627212,1.5093337088264112,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - FOLHETOS/VOLANTES/SANTINHOS/IMPRESSOS,0.0014666781791353026,0.7399006959062525,26,assunto
ABUSO - DE PODER POLITICO/AUTORIDADE,0.001420989682530771,0.36742517399266783,26,assunto
PESQUISA ELEITORAL - REGISTRO DE PESQUISA ELEITORAL,0.0014043404846155604,0.7530569961109987,25,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - BEM PUBLICO,0.0012916680057009952,0.4869047113525831,26,assunto
DOACAO DE RECURSOS ACIMA DO LIMITE LEGAL - PESSOA FISICA,0.0012757931890841664,2.644883018590495,25,assunto
ARREGIMENTACAO DE ELEITOR OU BOCA DE URNA,0.00117899552678643,0.5799070108492761,26,assunto
PROPAGANDA POLITICA - PROPAGANDA ELEITORAL - COMICIO/SHOWMICIO,0.0011476330842019632,0.8428463438504574,26,assunto
CORRUPCAO ELEITORAL,0.0011298223143391798,0.7989544862369877,27,assunto
CANDIDATO NAO-ELEITO,0.0011240144546013156,2.2741901868565018,25,assunto
PESQUISA ELEITORAL - DIVULGACAO DE PESQUISA ELEITORAL SEM PREVIO REGISTRO,0.0010701949543637742,0.5391840815998133,24,assunto
CANDIDATURA FICTICIA,0.0010399940837268803,0.4563046319085054,26,assunto
CRIACAO DO PARTIDO POLITICO,0.0010396068930776895,3.9410230755640687,27,assunto
INELEGIBILIDADE - ABUSO DO PODER ECONOMICO OU POLITICO,0.0010167626447754236,0.4001876421596322,26,assunto
IMPUGNACAO - TRANSFERENCIA DE DOMICILIO ELEITORAL,0.0009400988962356163,2.979121397815401,20,assunto
CITACAO,0.0009230625076712147,3.9667703518005895,26,assunto
