C,nat_share,cv,n_states,dim
REGISTRO DE CANDIDATURA,0.44355476637497016,0.04549768957481761,26,classe
PRESTACAO DE CONTAS ELEITORAIS,0.42264143784021957,0.16658534526193852,27,classe
REPRESENTACAO,0.03553442182949905,0.36053401536188473,27,classe
COMPOSICAO DE MESA RECEPTORA,0.015623917076153043,0.9263558610034164,26,classe
CUMPRIMENTO DE SENTENCA,0.014650906974736198,0.584644735852361,27,classe
PETICAO CIVEL,0.009407184012743219,1.5354745683271278,27,classe
NOTICIA DE IRREGULARIDADE EM PROPAGANDA ELEITORAL,0.008942942424363274,1.8394901503513317,26,classe
FILIACAO PARTIDARIA,0.007601714015565838,0.742962026645242,27,classe
REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ELEITORAIS,0.006477312370315332,0.4104809508155656,26,classe
ACAO DE INVESTIGACAO JUDICIAL ELEITORAL,0.005525984945253178,0.32816966465631736,26,classe
INQUERITO POLICIAL,0.003329452392392943,3.182063527060462,27,classe
APURACAO DE ELEICAO,0.0032376882085346885,0.5736767157758834,25,classe
DIREITO DE RESPOSTA,0.0032318803487968242,0.8873581039956365,26,classe
REPRESENTACAO ESPECIAL,0.0025411322306401773,1.6357353908025514,27,classe
REPRESENTACAO CRIMINAL/NOTICIA DE CRIME,0.0023847072083670352,0.7080625685893651,27,classe
SUSPENSAO DE ORGAO PARTIDARIO,0.0022170536572673556,0.8617744859325297,25,classe
RECURSO/IMPUGNACAO DE ALISTAMENTO ELEITORAL,0.001793467087052461,2.767266613423871,22,classe
TERMO CIRCUNSTANCIADO,0.0015545704565016474,0.5188228136890858,27,classe
ACAO PENAL ELEITORAL,0.0013338717864628082,2.6054945430608876,27,classe
CARTA PRECATORIA CIVEL,0.0011437611777100538,4.45756550057531,27,classe
LISTA DE APOIAMENTO PARA CRIACAO DE PARTIDO POLITICO,0.0010519969938517996,4.140456071320626,27,classe
EXECUCAO DE MEDIDAS ALTERNATIVAS NO JUIZO COMUM,0.0007453419996925706,1.1206247920511545,27,classe
CARTA PRECATORIA CRIMINAL,0.0005738165421009816,4.178632789952989,27,classe
TUTELA CAUTELAR ANTECEDENTE,0.0004704366387669991,0.5383079965537276,25,classe
CARTA DE ORDEM CIVEL,0.00046501596967832585,2.2722721426416648,25,classe
TUTELA ANTECIPADA ANTECEDENTE,0.0004530130595534066,0.48689593862063824,26,classe
ACAO DE IMPUGNACAO DE MANDATO ELETIVO,0.00043249195514628646,0.6042576608900907,25,classe
PET-ADM,0.0004278456673559951,1.465255669534848,27,classe
PROCESSO ADMINISTRATIVO,0.0004092605161948297,2.1454139125086282,25,classe
MANDADO DE SEGURANCA CIVEL,0.00032252981077605784,1.4968738060859264,27,classe
CANCELAMENTO DE INSCRICAO ELEITORAL (CIE),0.00030162151571974676,2.3910641688164556,25,classe
PROCEDIMENTO INVESTIGATORIO CRIMINAL (PIC-MP),0.0003004599437721739,1.1971618104781825,25,classe
PETICAO CRIMINAL,0.0001657175978537248,1.201183509237345,25,classe
IMPUGNACAO PERANTE AS JUNTAS ELEITORAIS,0.00012583696098705737,0.9103535051873507,24,classe
CAUTELAR INOMINADA CRIMINAL,0.0001099621443702286,1.3251332503521593,25,classe
EXECUCAO DA PENA,0.0001014439500880278,3.4661420002078724,26,classe
CUMPRIMENTO PROVISORIO DE SENTENCA,9.253856515663604e-05,1.3667363896212892,19,classe
AUTO DE PRISAO EM FLAGRANTE,7.666374853980727e-05,1.7897119668449175,25,classe
PEDIDO DE BUSCA E APREENSAO CRIMINAL,7.472779529385253e-05,0.9968203831957181,24,classe
INCIDENTE DE IMPEDIMENTO / SUSPEICAO,7.201746074951592e-05,0.9373996064100466,23,classe
COMUNICADO DE MANDADO DE PRISAO,6.969431685437024e-05,1.7866996668942192,23,classe
ACAO CAUTELAR,5.033478439482295e-05,0.6798703315917288,22,classe
RESTITUICAO DE COISAS APREENDIDAS,4.762444985048633e-05,3.1807684671148118,23,classe
EXECUCAO FISCAL,4.56884966045316e-05,0.8323161222687679,18,classe
CARTA DE ORDEM CRIMINAL,3.562153972556701e-05,0.8524081790652798,17,classe
HABEAS CORPUS CRIMINAL,3.3685586479612284e-05,0.8956184087507636,22,classe
PEDIDO DE QUEBRA DE SIGILO DE DADOS E/OU TELEFONICO,2.9813679987702824e-05,0.8660412083991372,19,classe
