scheme,family,n_total,share_of_all
subst13,drop,2417195,0.9359
subst13,prop_placement,61976,0.024
subst13,content_disinfo,13363,0.0052
subst13,electoral_polls,13135,0.0051
subst13,prop_timing,12910,0.005
subst13,crime_other,10237,0.004
subst13,prop_regulatory,9611,0.0037
subst13,candidacy_challenge,9122,0.0035
subst13,abuse_economic,8495,0.0033
subst13,abuse_political,6858,0.0027
subst13,crime_vote,6558,0.0025
subst13,crime_speech,6199,0.0024
subst13,campaign_finance,4363,0.0017
subst13,candidatura_ficticia,2685,0.001
subst11,drop,2417195,0.9359
subst11,illegal_advertisement,84497,0.0327
subst11,content_disinfo,13363,0.0052
subst11,electoral_polls,13135,0.0051
subst11,crime_other,10237,0.004
subst11,candidacy_challenge,9122,0.0035
subst11,abuse_economic,8495,0.0033
subst11,abuse_political,6858,0.0027
subst11,crime_vote,6558,0.0025
subst11,crime_speech,6199,0.0024
subst11,campaign_finance,4363,0.0017
subst11,candidatura_ficticia,2685,0.001
theme9,drop,2417195,0.9359
theme9,illegal_advertisement,84497,0.0327
theme9,abuse_power,15353,0.0059
theme9,content_disinfo,13363,0.0052
theme9,electoral_polls,13135,0.0051
theme9,candidacy,11807,0.0046
theme9,crime_other,10237,0.004
theme9,crime_vote,6558,0.0025
theme9,crime_speech,6199,0.0024
theme9,campaign_finance,4363,0.0017
theme7,drop,2417195,0.9359
theme7,illegal_advertisement,84497,0.0327
theme7,criminal,22994,0.0089
theme7,abuse_power,15353,0.0059
theme7,content_disinfo,13363,0.0052
theme7,electoral_polls,13135,0.0051
theme7,candidacy,11807,0.0046
theme7,campaign_finance,4363,0.0017
triad3,drop,2417195,0.9359
triad3,information_env,110995,0.043
triad3,strategic_attack,31523,0.0122
triad3,criminal,22994,0.0089
fine7_archive,drop,2430117,0.9409
fine7_archive,propaganda,96569,0.0374
fine7_archive,abuse,19716,0.0076
fine7_archive,pesquisa,13135,0.0051
fine7_archive,eligibility,9122,0.0035
fine7_archive,vote_crime,6558,0.0025
fine7_archive,speech_crime,6199,0.0024
fine7_archive,reply,1291,0.0005
fine7,drop,2417195,0.9359
fine7,propaganda,96569,0.0374
fine7,abuse,19716,0.0076
fine7,vote_crime,16795,0.0065
fine7,pesquisa,13135,0.0051
fine7,eligibility,11807,0.0046
fine7,speech_crime,6199,0.0024
fine7,reply,1291,0.0005
fine8,drop,2417195,0.9359
fine8,illegal_advertisement,84497,0.0327
fine8,abuse,19716,0.0076
fine8,vote_crime,16795,0.0065
fine8,pesquisa,13135,0.0051
fine8,content_disinfo,12072,0.0047
fine8,eligibility,11807,0.0046
fine8,speech_crime,6199,0.0024
fine8,reply,1291,0.0005
