categoria,label,bucket,real_2020,real_2024,share_of_total_2020,share_of_total_2024,pct_change_real
Serviços advocatícios,Servicos advocaticios,legal,255506417.79837343,405869235.5300001,0.06186335972617134,0.06351897290127753,58.848939696803136
Multas eleitorais,Multas eleitorais,legal,614341.7709272942,535652.63,0.00014874478025706284,8.383021404674345e-05,-12.808691293857475
Publicidade por materiais impressos,Materiais impressos,marketing,854669276.3502535,1304161519.7400002,0.2069330130544332,0.20410268376976037,52.59253559566819
Publicidade por adesivos,Adesivos,marketing,316143757.89170736,371348319.57,0.07654490712273145,0.05811641233881665,17.46185407753726
"Produção de programas de rádio, televisão ou vídeo",Radio e TV,marketing,351004009.1627076,360623852.16999996,0.08498529105948413,0.05643802162937623,2.740664709283437
Despesa com Impulsionamento de Conteúdos,Impulsionamento,marketing,137707647.3493412,316139993.23,0.03334185418285518,0.049476249750154175,129.57330207523324
"Produção de jingles, vinhetas e slogans",Jingles e vinhetas,marketing,82993293.25401978,87413712.34,0.020094383537107928,0.013680340216163336,5.326236509799084
Publicidade por carros de som,Carros de som,marketing,36632266.590117045,63666768.279999994,0.00886942529732357,0.009963917870760414,73.79969684206365
Publicidade por jornais e revistas,Jornais e revistas,marketing,39115562.75623834,34618260.05,0.009470682382586349,0.005417795017486103,-11.497476680227726
Criação e inclusão de páginas na internet,Paginas na internet,marketing,26706539.05593038,28961134.690000005,0.006466202480917029,0.004532448800072666,8.442110860369892
