variable,label,mean,sd,min,max
delta_log1p_competition_lawsuits_2024_2020,$\Delta\log(1+\text{adversarial lawsuits})$,-0.052688555000346866,0.9968685938404367,-3.881563797943437,3.688879454113936
bartik_iv_2020_2024,"Bartik IV ($Z_m$, adversarial filter)",-0.062497432860829226,0.11517226326470807,-0.3939610505628015,0.3557522123893805
delta_runnerup_vote_share_2024_2020,$\Delta$ Runner-up vote share,-0.010107970635304999,0.15587034398537233,-0.446079974382993,0.44215095955651895
delta_margin_top1_top2_2024_2020,$\Delta$ Margin (winner$-$runner-up),0.057768952317048934,0.31921819582838146,-0.91086024428684,0.9188701029092325
delta_winner_vote_share_2024_2020,$\Delta$ Winner vote share,0.04766098168174393,0.18969632787851806,-0.4746384783171246,0.4965773809523808
delta_winner_majority_2024_2020,$\Delta$ Winner majority (P50),0.12723546944858422,0.5460187007171228,-1.0,1.0
delta_others_vote_share_2024_2020,$\Delta$ Other-candidates vote share,-0.03885703489144639,0.1308844986903412,-0.38216951379032876,0.29330709883924533
delta_log1p_n_candidates_with_votes_2024_2020,$\Delta$ Log candidates,-0.11438167856425849,0.3338294211778604,-0.980829253011726,0.6931471805599453
delta_female_vote_share_2024_2020,$\Delta$ Female vote share,0.016618923149750095,0.2603480577213611,-0.6129495499641233,0.812037577922961
delta_female_share_2024_2020,$\Delta$ Female candidate share,0.023096040904732936,0.25349638156724985,-0.5,0.6666666666666666
delta_nonwhite_vote_share_2024_2020,$\Delta$ Non-white vote share,0.009587271857291963,0.34577446514459137,-1.0,1.0
delta_new_candidate_vote_share_2024_2020,$\Delta$ New-candidate vote share,-0.006745852784875851,0.5585704125182265,-1.0,1.0
delta_incumbent_candidate_vote_share_2024_2020,$\Delta$ Incumbent vote share,0.0225465886272983,0.5476528498534962,-1.0,1.0
delta_winner_is_female_2024_2020,$\Delta$ Winner is female,0.011363636363636364,0.3491603541267935,-1.0,1.0
delta_winner_is_new_vs_2020_2024_2020,$\Delta$ Winner is new entrant,-0.0022354694485842027,0.8287247082959639,-1.0,1.0
delta_share_first_time_candidates_2024_2020,$\Delta$ First-time-candidate share,-0.0782950418993812,0.3373551774178036,-0.8333333333333334,0.75
delta_share_serial_challenger_2024_2020,$\Delta$ Serial-challenger share,0.010951364489790763,0.19038682891542852,-0.5,0.5
delta_share_cross_cycle_returner_2024_2020,$\Delta$ Cross-cycle returner share,0.033796833041922346,0.16441835742832617,-0.3333333333333333,0.5
delta_turnout_rate_2024_2020,$\Delta$ Turnout rate,0.01000537908517757,0.03136850087814496,-0.05355271388126625,0.09470382689531166
delta_blank_rate_2024_2020,$\Delta$ Blank vote rate,0.0007914118487894121,0.02136151787520511,-0.05658125607136054,0.09033802097967433
delta_null_rate_2024_2020,$\Delta$ Null vote rate,-0.006202849500635807,0.03135988229331334,-0.09806997492728117,0.1026229002225092
delta_valid_vote_rate_2024_2020,$\Delta$ Valid vote rate,0.01542405238346563,0.061923116202583825,-0.22894870521056973,0.20408970484007669
delta_effective_n_candidates_vote_2024_2020,$\Delta$ Eff.\ N candidates (votes),-0.24000152124545862,0.7895549181454264,-2.568682757342564,1.5873309550762018
delta_effective_party_count_candidates_2024_2020,$\Delta$ Eff.\ N parties (candidates),-0.6558344786536847,1.6112121005267106,-6.0,2.999999999999999
delta_vote_hhi_candidate_2024_2020,$\Delta$ Vote HHI (candidate),0.044090106737319855,0.186922493089408,-0.4999954145139253,0.5377311645956689
delta_top2_vote_share_2024_2020,$\Delta$ Top-two vote share,0.03755301104643893,0.13660258175268195,-0.29742346231000144,0.38493900329103414
log_pop_2010,Log population (2010),9.457107018742803,1.1407469276655926,6.927557906278317,16.236190015924542
urban_share_2010,Urban share (2010),0.6427979293343271,0.21904680519480024,0.0417885499373172,1.0
log_income_pc_2010,Log income per capita (2010),6.226740683253306,0.4716386553711671,4.865755950808159,7.701524571029115
margin_2016,Margin 2016 (pp),0.18315753943606355,0.2090452371020873,0.0,1.0
log1p_total_valid_votes_2020,Log valid votes (2020),8.993526525937511,1.0445397726042993,0.0,15.490391020278794
margin_top1_top2_2020,Top-two margin (2020),0.20537556876772123,0.22385869973652772,0.0,1.0
log1p_total_candidates_2020,Log candidates (2020),1.4376020229955717,0.3587477391178766,0.6931471805599453,2.8903717578961645
