instrument,family,outcome,coef,se,t,p,first_stage_F,tF_cv,reject_tF_5pct,nobs
full,primary,delta_runnerup_vote_share_2024_2020,0.025220134726381,0.0225598379262405,1.11792180461749,0.274228437850228,26.5878426279572,1.96,FALSE,5009
full,primary,delta_margin_top1_top2_2024_2020,-0.0644405986523644,0.046090124870012,-1.39814328631364,0.174352007470145,25.7609795974811,1.96,FALSE,5009
full,secondary,delta_winner_vote_share_2024_2020,-0.0393082124027635,0.0236015205498885,-1.66549491248559,0.108297869152357,25.4277221047112,1.96,FALSE,5009
full,secondary,delta_winner_majority_2024_2020,0.00319937941116133,0.055026855946859,0.0581421445239587,0.954097650869053,26.3681857572198,1.96,FALSE,5009
full,secondary,delta_others_vote_share_2024_2020,0.0160618438333467,0.00809542309348397,1.98406477930411,0.0583304080392427,26.2928168838939,1.96,TRUE,5009
full,secondary,delta_log1p_n_candidates_with_votes_2024_2020,0.116499656213651,0.0565272544681621,2.06094665855862,0.0498551695307031,26.696566520922,1.96,TRUE,5009
full,composition,delta_female_vote_share_2024_2020,-0.00223535865126568,0.0346061694829478,-0.0645942236504146,0.94901082651768,27.0049811040718,1.96,FALSE,5009
full,composition,delta_female_share_2024_2020,-0.0226215428910086,0.0314745758116014,-0.718724313440005,0.478975119911789,27.056561983709,1.96,FALSE,5009
full,composition,delta_nonwhite_vote_share_2024_2020,-0.0345054968091439,0.0293676638345,-1.17494864431839,0.251085194284767,26.6662801475135,1.96,FALSE,5009
full,composition,delta_new_candidate_vote_share_2024_2020,0.077409193007687,0.0673292493439217,1.14971121410067,0.261143013577564,26.0917050390904,1.96,FALSE,5009
full,composition,delta_incumbent_candidate_vote_share_2024_2020,-0.0332421308224093,0.0487030161744597,-0.682547682536382,0.501168845422155,26.8763788827493,1.96,FALSE,5009
full,composition,delta_winner_is_female_2024_2020,-0.0143575575412783,0.0387792300072248,-0.370238334763309,0.714323211786899,27.1436408038999,1.96,FALSE,5009
full,composition,delta_winner_is_new_vs_2020_2024_2020,0.0629579111330072,0.0771108744786033,0.816459566289535,0.421949426888527,26.3280788240418,1.96,FALSE,5009
full,voter_behavior,delta_turnout_rate_2024_2020,0.00780603949597325,0.00434770492174904,1.79543911936713,0.0846826348265614,26.1491104464508,1.96,FALSE,5009
full,voter_behavior,delta_null_rate_2024_2020,-0.00400398879977926,0.00296844872777257,-1.34884889953404,0.189477625289976,26.766753956014,1.96,FALSE,5009
full,voter_behavior,delta_blank_rate_2024_2020,-0.00315735773450052,0.00327357739685131,-0.964497658597416,0.344034199888173,27.6741745766476,1.96,FALSE,5009
full,voter_behavior,delta_valid_vote_rate_2024_2020,0.0161575590257259,0.0103480915262901,1.56140472711092,0.130999347173574,25.8349211666704,1.96,FALSE,5009
full,entry,delta_share_first_time_candidates_2024_2020,0.00622473638701249,0.0493460775500621,0.126144502178465,0.900626566215882,26.8706692498695,1.96,FALSE,5009
full,entry,delta_share_serial_challenger_2024_2020,-0.00811709459289572,0.02571024113237,-0.31571444822725,0.754839869846169,26.5917015377428,1.96,FALSE,5009
full,entry,delta_share_cross_cycle_returner_2024_2020,0.00960736858383897,0.01755825206269,0.547171127828487,0.589112822496079,26.7319105275206,1.96,FALSE,5009
full,fragmentation,delta_effective_n_candidates_vote_2024_2020,0.113743581883593,0.0618849555662748,1.8379843831637,0.0779772144286255,25.9356564878986,1.96,FALSE,5009
full,fragmentation,delta_effective_party_count_candidates_2024_2020,0.163349831575358,0.149086947487824,1.09566822802311,0.28366731891519,26.3926475125307,1.96,FALSE,5009
full,fragmentation,delta_vote_hhi_candidate_2024_2020,-0.032414256993213,0.0226683870582468,-1.42993221837637,0.165115915085848,25.6357355867054,1.96,FALSE,5009
full,fragmentation,delta_candidate_hhi_party_2024_2020,-0.0281119251214977,0.0270970537471649,-1.0374532000343,0.309455638744347,25.57749196492,1.96,FALSE,5009
full,fragmentation,delta_top2_vote_share_2024_2020,-0.0154563610443308,0.00836011711041968,-1.84882111580311,0.0763443357294175,26.3249993926536,1.96,FALSE,5009
no_fraude,primary,delta_runnerup_vote_share_2024_2020,0.0325742615274773,0.0410324063510379,0.793866712295644,0.434744060476372,3.51769243784671,6.15156129246971,FALSE,4904
no_fraude,primary,delta_margin_top1_top2_2024_2020,-0.110494897263381,0.087769892876097,-1.25891571292407,0.219689689468945,3.5346373434196,6.11953542093696,FALSE,4904
no_fraude,secondary,delta_winner_vote_share_2024_2020,-0.0783417469258492,0.0476916632343829,-1.64267172945584,0.112971367547556,3.69978411442167,5.80740802374304,FALSE,4904
no_fraude,secondary,delta_winner_majority_2024_2020,0.00896710251460942,0.10726693477204,0.0835961476261626,0.934043322364676,3.93759980228567,5.35793637368009,FALSE,4904
no_fraude,secondary,delta_others_vote_share_2024_2020,0.0402496908397217,0.0203941860835367,1.97358652484854,0.0595788378461967,3.9834331487804,5.27131134880504,FALSE,4904
no_fraude,secondary,delta_log1p_n_candidates_with_votes_2024_2020,0.165234329233634,0.119288268596244,1.38516830848559,0.178237532381857,3.98360619949567,5.27098428295318,FALSE,4904
no_fraude,composition,delta_female_vote_share_2024_2020,0.00439843272732463,0.0742285130196469,0.0592552989194387,0.953219891262158,3.99557241860891,5.24836812882916,FALSE,4904
no_fraude,composition,delta_female_share_2024_2020,-0.026509415955616,0.0779682356536092,-0.340002768222046,0.736694619346606,4.03333687706163,5.20899670433268,FALSE,4904
