family,outcome,coef,se,t,p,first_stage_F,tF_cv,reject_tF_5pct,ci_low_tF,ci_high_tF,nobs,n_clusters,lagged_dv
primary,delta_runnerup_vote_share_2024_2020,0.025220134726381,0.0225598379262408,1.11792180461748,0.274228437850233,26.5878426279569,1.96,FALSE,-0.0189971476090509,0.0694374170618129,5009,26,runnerup_vote_share_2020
primary,delta_margin_top1_top2_2024_2020,-0.0644405986523611,0.0460901248700119,-1.39814328631357,0.174352007470166,25.7609795974808,1.96,FALSE,-0.154777243397584,0.0258960460928622,5009,26,margin_top1_top2_2020
secondary,delta_winner_vote_share_2024_2020,-0.0393082124027577,0.0236015205498883,-1.66549491248537,0.108297869152403,25.4277221047109,1.96,FALSE,-0.0855671926805387,0.00695076787502327,5009,26,winner_vote_share_2020
secondary,delta_winner_majority_2024_2020,0.003199379411154,0.05502685594686,0.0581421445238244,0.954097650869159,26.3681857572194,1.96,FALSE,-0.104653258244692,0.111052017067,5009,26,winner_majority_2020
secondary,delta_others_vote_share_2024_2020,0.0160618438333501,0.00809542309348429,1.98406477930445,0.0583304080392026,26.2928168838937,1.96,TRUE,0.000194814570120876,0.0319288730965793,5009,26,others_vote_share_2020
secondary,delta_log1p_n_candidates_with_votes_2024_2020,0.116499656213652,0.0565272544681634,2.06094665855859,0.049855169530706,26.6965665209217,1.96,TRUE,0.00570623745605223,0.227293074971253,5009,26,log1p_n_candidates_with_votes_2020
composition,delta_female_vote_share_2024_2020,-0.0022353586512665,0.0346061694829489,-0.064594223650436,0.949010826517663,27.0049811040715,1.96,FALSE,-0.0700634508378464,0.0655927335353134,5009,26,female_vote_share_2020
composition,delta_female_share_2024_2020,-0.0226215428910086,0.0314745758116019,-0.718724313439993,0.478975119911796,27.0565619837087,1.96,FALSE,-0.0843117114817484,0.0390686256997312,5009,26,female_share_2020
composition,delta_nonwhite_vote_share_2024_2020,-0.0345054968091447,0.0293676638345009,-1.17494864431838,0.251085194284773,26.6662801475132,1.96,FALSE,-0.0920661179247664,0.0230551243064771,5009,26,nonwhite_vote_share_2020
composition,delta_new_candidate_vote_share_2024_2020,0.077409193007679,0.0673292493439234,1.14971121410052,0.261143013577624,26.0917050390901,1.96,FALSE,-0.0545561357064108,0.209374521721769,5009,26,new_candidate_vote_share_2020
composition,delta_incumbent_candidate_vote_share_2024_2020,-0.0332421308224555,0.0487030161744665,-0.682547682537233,0.501168845421626,26.8763788827489,1.96,FALSE,-0.12870004252441,0.0622157808794989,5009,26,incumbent_candidate_vote_share_2020
composition,delta_winner_is_female_2024_2020,-0.0143575575412728,0.038779230007226,-0.370238334763158,0.71432321178701,27.1436408038996,1.96,FALSE,-0.0903648483554357,0.0616497332728901,5009,26,winner_is_female_2020
composition,delta_winner_is_new_vs_2020_2024_2020,0.0629579111330472,0.0771108744786081,0.816459566290002,0.421949426888265,26.3280788240416,1.96,FALSE,-0.0881794028450247,0.214095225111119,5009,26,winner_is_new_vs_2020_2020
voter_behavior,delta_turnout_rate_2024_2020,0.00780603949597293,0.00434770492174915,1.79543911936702,0.0846826348265809,26.1491104464504,1.96,FALSE,-0.000715462150655401,0.0163275411426013,5009,26,turnout_rate_2020
voter_behavior,delta_null_rate_2024_2020,-0.0040039887997792,0.00296844872777263,-1.348848899534,0.189477625289989,26.7667539560136,1.96,FALSE,-0.00982214830621355,0.00181417070665515,5009,26,null_rate_2020
voter_behavior,delta_blank_rate_2024_2020,-0.00315735773450065,0.00327357739685142,-0.964497658597428,0.344034199888167,27.6741745766472,1.96,FALSE,-0.00957356943232943,0.00325885396332812,5009,26,blank_rate_2020
voter_behavior,delta_valid_vote_rate_2024_2020,0.0161575590257257,0.0103480915262902,1.56140472711089,0.130999347173581,25.8349211666699,1.96,FALSE,-0.00412470036580317,0.0364398184172546,5009,26,valid_vote_rate_2020
entry,delta_share_first_time_candidates_2024_2020,0.0062247363870086,0.0493460775500632,0.126144502178383,0.900626566215946,26.8706692498692,1.96,FALSE,-0.0904935756111152,0.102943048385132,5009,26,share_first_time_candidates_2020
entry,delta_share_serial_challenger_2024_2020,-0.0081170945928977,0.0257102411323709,-0.315714448227315,0.75483986984612,26.5917015377425,1.96,FALSE,-0.0585091672123446,0.0422749780265492,5009,26,share_serial_challenger_2020
entry,delta_share_cross_cycle_returner_2024_2020,0.00960736858384098,0.0175582520626907,0.547171127828581,0.589112822496016,26.7319105275203,1.96,FALSE,-0.0248068054590328,0.0440215426267148,5009,26,share_cross_cycle_returner_2020
fragmentation,delta_effective_n_candidates_vote_2024_2020,0.113743581883597,0.0618849555662776,1.83798438316369,0.0779772144286272,25.9356564878982,1.96,FALSE,-0.00755093102630679,0.235038094793501,5009,26,effective_n_candidates_vote_2020
fragmentation,delta_effective_n_parties_vote_2024_2020,0.113743581883598,0.0618849555662775,1.83798438316371,0.0779772144286248,25.9356564878982,1.96,FALSE,-0.0075509310263058,0.235038094793502,5009,26,effective_n_parties_vote_2020
fragmentation,delta_effective_party_count_candidates_2024_2020,0.163349831575366,0.149086947487828,1.09566822802313,0.283667318915179,26.3926475125304,1.96,FALSE,-0.128860585500776,0.455560248651509,5009,26,effective_party_count_candidates_2020
fragmentation,delta_vote_hhi_candidate_2024_2020,-0.0324142569932108,0.0226683870582467,-1.42993221837628,0.165115915085875,25.6357355867051,1.96,FALSE,-0.0768442956273743,0.0120157816409527,5009,26,vote_hhi_candidate_2020
fragmentation,delta_vote_hhi_party_2024_2020,-0.0324142569932108,0.0226683870582467,-1.42993221837628,0.165115915085875,25.6357355867051,1.96,FALSE,-0.0768442956273743,0.0120157816409528,5009,26,vote_hhi_party_2020
fragmentation,delta_candidate_hhi_party_2024_2020,-0.0281119251214905,0.0270970537471645,-1.03745320003405,0.309455638744462,25.5774919649197,1.96,FALSE,-0.081222150465933,0.0249983002229519,5009,26,candidate_hhi_party_2020
