variant,spec,coef,se,t,p,first_stage_F,nobs,n_clusters,tF_cv
all_topics,baseline_state_fe,1.79181935832039,0.404888789402274,4.42546053439909,1.00967192099408e-05,19.5847009415239,5560,2187,2.18245897175428
all_topics,baseline_state_fe_sz,1.80078738742162,0.421651301023093,4.27079765448891,2.03683294615484e-05,18.239712605588,5371,2049,2.23041149577648
all_topics,robustness_full_controls,1.79925524839715,0.405579404480849,4.4362589138377,9.60780921445775e-06,19.6803931506045,5560,2187,2.17958820548187
all_topics,subsample_le200k,1.86928839047049,0.425998607912443,4.38801525580266,1.20296764800825e-05,19.2546778851569,5338,2017,2.19235966344529
all_topics,subsample_gt200k,0.79916934208604,0.779105144562758,1.02575287515852,0.306155431621401,1.05216896089596,222,222,13.99
no_rrc_drap,baseline_state_fe,0.481468271953585,0.149288983433113,3.22507569467978,0.00127797178739422,10.4011132364143,5560,2187,2.80785527926614
no_rrc_drap,baseline_state_fe_sz,0.497378032257242,0.155004983477602,3.20878736346637,0.00135356405742475,10.2963163439414,5371,2049,2.82147887528761
no_rrc_drap,robustness_full_controls,0.491310755669414,0.150541351246773,3.26362658233376,0.00111691855761362,10.6512584689156,5560,2187,2.77533639904098
no_rrc_drap,subsample_le200k,0.493387150829667,0.154649730484563,3.19035247771684,0.00144283688246894,10.178348932074,5338,2017,2.83681463883038
no_rrc_drap,subsample_gt200k,0.485074743329577,0.565646788689141,0.857557672083165,0.392087253832575,0.735405160948697,222,222,13.99
