stage,grain,outcome,coef,se,p,first_stage_F,nobs
first,act10,,-1.08161211769212,0.209335960421567,,26.696566520922,5009
first,subject,,-0.0342232008402285,0.0403925736328186,,0.717857432389325,5009
first,pair,,0.0961403590838622,0.0298647647312976,,10.3631857885859,5009
second,act10,delta_others_vote_share_2024_2020,0.0160618438333468,0.00809542309348398,0.0583304080392417,26.2928168838939,5009
second,subject,delta_others_vote_share_2024_2020,0.0839264056650855,0.0992593548012451,0.405837098237038,0.761997592830599,5009
second,pair,delta_others_vote_share_2024_2020,0.00939123748640069,0.0238049438258896,0.696551565632397,10.2734472463672,5009
second,act10,delta_log1p_n_candidates_with_votes_2024_2020,0.116499656213651,0.0565272544681621,0.0498551695307029,26.696566520922,5009
second,subject,delta_log1p_n_candidates_with_votes_2024_2020,0.849145000650355,1.01030590454604,0.408604458422753,0.717857432389325,5009
second,pair,delta_log1p_n_candidates_with_votes_2024_2020,-0.0388599870317459,0.0992899660655307,0.69883322535714,10.3631857885859,5009
second,act10,delta_turnout_rate_2024_2020,0.00780603949597325,0.00434770492174903,0.0846826348265611,26.1491104464508,5009
second,subject,delta_turnout_rate_2024_2020,-0.0222477825908136,0.041623579176857,0.597717904312719,0.656015215615977,5009
second,pair,delta_turnout_rate_2024_2020,0.00422019242075905,0.00605253636115321,0.49207383627295,10.5972874363852,5009
second,act10,delta_female_share_2024_2020,-0.0226215428910086,0.0314745758116014,0.478975119911789,27.056561983709,5009
second,subject,delta_female_share_2024_2020,-0.0332644472732391,0.397791481202477,0.934022325381403,0.720656842158935,5009
second,pair,delta_female_share_2024_2020,0.0940155170215937,0.112544649948884,0.411426662963876,10.4176472647596,5009
