instrument,outcome,lagged_dv,coef,se,t,p,first_stage_F,tF_cv,reject_tF_5pct,nobs,sd_outcome
full,delta_facultative_turnout_2024_2020,facultative_turnout_2020,0.0106570288494672,0.00730388161294159,1.4590911263655,0.156991438575905,27.2047715461583,1.96,FALSE,5009,0.0864885828925755
no_fraude,delta_facultative_turnout_2024_2020,facultative_turnout_2020,0.0114856536379925,0.014575485051278,0.788011760677934,0.438098208869822,4.0671695727192,5.17753229737114,FALSE,4904,0.0863935037723928
full,delta_compulsory_turnout_2024_2020,compulsory_turnout_2020,0.00823170427214008,0.00371644194320354,2.21494224797292,0.0361033821167001,25.8762046331559,1.96,TRUE,5009,0.0215712236349212
no_fraude,delta_compulsory_turnout_2024_2020,compulsory_turnout_2020,0.0166869014261158,0.00921537743950714,1.81076700717407,0.0822118577519652,3.66363500049622,5.87572984906214,FALSE,4904,0.0216129168273808
full,delta_low_ed_turnout_2024_2020,low_ed_turnout_2020,0.00638516800324486,0.00527871580156921,1.20960632155016,0.237744571844374,26.4314429235699,1.96,FALSE,5009,0.0474117300529998
no_fraude,delta_low_ed_turnout_2024_2020,low_ed_turnout_2020,0.00808879009128993,0.0114949337553937,0.703683054066708,0.488132938094141,3.9107426603556,5.40869637192791,FALSE,4904,0.0474506411800362
full,delta_high_ed_turnout_2024_2020,high_ed_turnout_2020,0.00986282986479603,0.00380035096735534,2.59524184727064,0.0155935611553812,25.7117252203759,1.96,TRUE,5009,0.0262191602381738
no_fraude,delta_high_ed_turnout_2024_2020,high_ed_turnout_2020,0.0182506080337357,0.0109766070702953,1.66268209446297,0.10886494140115,3.44978817649143,6.2799003464312,FALSE,4904,0.0261330548308867
full,delta_analfabeto_turnout_2024_2020,analfabeto_turnout_2020,0.0215333734247335,0.00690744915797521,3.11741323493804,0.00454606254947033,26.6074966425268,1.96,TRUE,5009,0.0955947426006228
no_fraude,delta_analfabeto_turnout_2024_2020,analfabeto_turnout_2020,0.0176377211644658,0.0165598524752443,1.06508926881039,0.297014729965254,3.95397336463721,5.32699034083567,FALSE,4904,0.0955021206128689
full,delta_female_turnout_2024_2020,female_turnout_2020,0.00831814830721078,0.00427336541391051,1.94650995211732,0.062914301115915,26.3451292538692,1.96,FALSE,5009,0.0306192540240912
no_fraude,delta_female_turnout_2024_2020,female_turnout_2020,0.012369196728341,0.00924912101799998,1.33733753772591,0.193153607637911,3.81175386440132,5.5957851962815,FALSE,4904,0.030639745582956
full,delta_male_turnout_2024_2020,male_turnout_2020,0.00699013456067969,0.00453402691332008,1.54170557306223,0.135709224214846,26.1927520731012,1.96,FALSE,5009,0.0326681354275901
no_fraude,delta_male_turnout_2024_2020,male_turnout_2020,0.0119365673697949,0.00994332572872503,1.20046025801122,0.241212501314603,3.8026159321395,5.61305588825634,FALSE,4904,0.0327248239019204
full,delta_education_turnout_gap_2024_2020,education_turnout_gap_2020,0.00173013783962095,0.00411109688975009,0.420845795178066,0.677463581971053,26.61941974586,1.96,FALSE,5009,0.0510841361038226
no_fraude,delta_education_turnout_gap_2024_2020,education_turnout_gap_2020,0.00224134208198304,0.00899200538750971,0.249259423831792,0.805196667699147,3.95886092728902,5.31775284742376,FALSE,4904,0.0511385123922308
full,delta_sex_turnout_gap_2024_2020,sex_turnout_gap_2020,0.00159837188233182,0.00172228990460544,0.92805042754866,0.362255548244451,26.6365398554425,1.96,FALSE,5009,0.0116799451636835
no_fraude,delta_sex_turnout_gap_2024_2020,sex_turnout_gap_2020,0.00074107368405184,0.00331426536828499,0.223601191124692,0.824884758478544,3.98550267043394,5.26739995287985,FALSE,4904,0.0116580702567312
